R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge
112,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560980,41,2025/00040,3662.67,75921.45,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,560980,6356-C-C/00027,both
113,25,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-29,561705,33,2025/00041,157.3,76078.75,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,561705,6356-C-C/00028,both
114,26,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-29,561706,45,2025/00041,158.51,76237.26,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,561706,6356-C-C/00029,both
115,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,535278,6366-C-C/00002,both
116,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,535306,6366-C-C/00001,both
117,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,537109,6366-C-C/00003,both
118,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,537116,6366-C-C/00004,both
119,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.3,13712.93,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,540059,6366-C-C/00005,both
120,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,540061,6366-C-C/00006,both
121,7,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.4,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,542307,6366-C-C/00007,both
122,8,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,542310,6366-C-C/00008,both
123,9,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,544984,6366-C-C/00009,both
124,10,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,544986,6366-C-C/00010,both
125,11,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,547936,6366-C-C/00011,both
126,12,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,547938,6366-C-C/00012,both
127,13,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.9,46255.88,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,551253,6366-C-C/00013,both
128,14,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,551263,6366-C-C/00014,both
129,15,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,554336,6366-C-C/00015,both
130,16,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,58443.0,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,554337,6366-C-C/00016,both
131,17,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-10,556849,29,2025/00028,3492.06,61935.06,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,556849,6366-C-C/00017,both
132,18,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-10,556852,26,2025/00035,4189.02,66124.08,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,556852,6366-C-C/00018,both
133,19,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-18,561023,32,2025/00031,3373.48,69497.56,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,561023,6366-C-C/00019,both
134,20,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-18,561027,31,2025/00036,3767.94,73265.5,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,561027,6366-C-C/00020,both
135,21,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-24,561672,36,2025/00036,162.14,73427.64,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,,,left_only
136,22,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-24,561673,34,2025/00039,163.35,73590.99,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,,,left_only
137,1,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-17,535321,4,2025/00004,1447.16,1447.16,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,535321,6368-C-C/00002,both
138,2,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-17,535324,5,2025/00001,1672.22,3119.38,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,535324,6368-C-C/00001,both
139,3,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-22,537130,8,2025/00006,3092.76,6212.14,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,537130,6368-C-C/00003,both
140,4,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-22,537135,6,2025/00003,3559.82,9771.96,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,537135,6368-C-C/00004,both
141,5,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-29,540077,11,2025/00007,3598.54,13370.5,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,540077,6368-C-C/00006,both
142,6,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-29,540078,7,2025/00007,4264.04,17634.54,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,540078,6368-C-C/00005,both
143,7,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-05,542304,14,2025/00010,3813.92,21448.46,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,542304,6368-C-C/00007,both
144,8,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-05,542312,12,2025/00011,4714.16,26162.62,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,542312,6368-C-C/00008,both
145,9,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-13,545514,16,2025/00013,3315.4,29478.02,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,545514,6368-C-C/00009,both
146,10,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-13,545515,14,2025/00016,4486.68,33964.7,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,545515,6368-C-C/00010,both
147,11,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-19,547920,18,2025/00018,3540.46,37505.16,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,547920,6368-C-C/00012,both
148,12,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-19,547923,17,2025/00019,4176.92,41682.08,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,547923,6368-C-C/00011,both
149,13,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-26,551381,23,2025/00023,3959.12,45641.2,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,551381,6368-C-C/00013,both
150,14,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-26,551390,20,2025/00024,4271.3,49912.5,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,551390,6368-C-C/00014,both
151,15,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-03,554313,24,2025/00027,3913.14,53825.64,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,554313,6368-C-C/00016,both
152,16,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-03,554316,22,2025/00027,4663.34,58488.98,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,554316,6368-C-C/00015,both
153,17,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-10,556851,28,2025/00030,3593.7,62082.68,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,556851,6368-C-C/00017,both
154,18,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-10,556855,26,2025/00029,5186.06,67268.74,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,556855,6368-C-C/00018,both
155,19,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-17,560474,32,2025/00031,3283.94,70552.68,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,560474,6368-C-C/00019,both
156,20,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-17,560477,30,2025/00034,3741.32,74294.0,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,560477,6368-C-C/00020,both
157,21,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-24,561675,34,2025/00034,171.82,74465.82,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,,,left_only
158,22,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-24,561677,31,2025/00036,162.14,74627.96,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,,,left_only
159,1,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-17,535276,1,2025/00002,1239.04,1239.04,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,535276,6369-C-C/00002,both
160,2,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-17,535299,5,2025/00001,1593.57,2832.61,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,535299,6369-C-C/00001,both
161,3,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537048,2,2025/00009,1840.41,4673.02,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,537048,6369-C-C/00004,both
162,4,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537049,4,2025/00007,1583.89,6256.91,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,537049,6369-C-C/00005,both
163,5,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-22,537052,7,2025/00005,4268.88,10525.79,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,537052,6369-C-C/00003,both
164,6,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-29,540055,8,2025/00012,3286.36,13812.15,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,540055,6369-C-C/00007,both
165,7,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-29,540058,12,2025/00009,4544.76,18356.91,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,540058,6369-C-C/00006,both
166,8,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-05,542280,9,2025/00013,3501.74,21858.65,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,542280,6369-C-C/00008,both
167,9,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-05,542281,13,2025/00014,4034.14,25892.79,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,542281,6369-C-C/00009,both
168,10,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-12,544972,10,2025/00015,3682.64,29575.43,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,544972,6369-C-C/00010,both
169,11,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-12,544977,17,2025/00015,4266.46,33841.89,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,544977,6369-C-C/00011,both
170,12,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-19,547924,12,2025/00017,3590.07,37431.96,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,547924,6369-C-C/00012,both
171,13,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-19,547925,21,2025/00017,4089.8,41521.76,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,547925,6369-C-C/00013,both
172,14,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-26,551192,16,2025/00020,3931.29,45453.05,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,551192,6369-C-C/00014,both
173,15,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-26,551194,26,2025/00022,4502.41,49955.46,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,551194,6369-C-C/00015,both
174,16,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-03,554275,20,2025/00024,3245.83,53201.29,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,554275,6369-C-C/00016,both
175,17,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-03,554280,30,2025/00027,4397.14,57598.43,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,554280,6369-C-C/00017,both
176,18,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-03,554380,35,2025/00030,65.34,57663.77,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,554380,6369-C-C/00018,both
177,19,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-10,556808,36,2025/00035,4440.7,62104.47,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,556808,6369-C-C/00019,both
178,20,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-10,556812,24,2025/00027,3415.83,65520.3,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,556812,6369-C-C/00020,both
179,21,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-17,560905,26,2025/00030,3581.6,69101.9,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,560905,6369-C-C/00021,both
180,22,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-17,560906,38,2025/00037,4262.83,73364.73,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,560906,6369-C-C/00022,both
181,23,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-24,561674,30,2025/00031,163.35,73528.08,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,,,left_only
182,24,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-24,561676,42,2025/00042,153.67,73681.75,2025-12-18,6369,ADG32 6369 VMASTRANGELO SL,2025-12-18,ENTREGADA,,,left_only
183,1,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-17,535280,5,2025/00001,1352.78,1352.78,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,535280,6427-C-C/00002,both
184,2,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-17,535303,3,2025/00001,786.5,2139.28,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,535303,6427-C-C/00001,both
185,3,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-23,537782,7,2025/00005,4619.78,6759.06,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,537782,6427-C-C/00004,both
186,4,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-23,537785,6,2025/00004,2870.12,9629.18,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,537785,6427-C-C/00003,both
187,5,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-29,540130,8,2025/00007,4474.58,14103.76,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,540130,6427-C-C/00006,both
188,6,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-29,540132,8,2025/00005,2618.44,16722.2,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,540132,6427-C-C/00005,both
189,7,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-05,542342,9,2025/00010,5186.06,21908.26,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,542342,6427-C-C/00007,both
190,8,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-05,542345,11,2025/00006,3274.26,25182.52,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,542345,6427-C-C/00008,both
191,9,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-12,544987,13,2025/00014,4636.72,29819.24,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,544987,6427-C-C/00009,both
192,10,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-12,544989,15,2025/00010,2816.88,32636.12,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,544989,6427-C-C/00010,both
193,11,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-19,548604,18,2025/00018,4542.34,37178.46,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,548604,6427-C-C/00011,both
194,12,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-19,548605,16,2025/00011,3332.34,40510.8,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,548605,6427-C-C/00012,both
195,13,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-26,551241,20,2025/00022,4881.14,45391.94,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,551241,6427-C-C/00013,both
196,14,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-26,551246,20,2025/00014,3160.52,48552.46,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,551246,6427-C-C/00014,both
197,15,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-03,554338,25,2025/00024,4653.66,53206.12,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,554338,6427-C-C/00015,both
198,16,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-03,554339,22,2025/00018,2792.68,55998.8,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,554339,6427-C-C/00016,both
199,17,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-10,556848,29,2025/00028,5164.28,61163.08,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,556848,6427-C-C/00017,both
200,18,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-10,556854,24,2025/00021,3254.9,64417.98,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,556854,6427-C-C/00018,both
201,19,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-17,560936,31,2025/00029,4670.6,69088.58,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,560936,6427-C-C/00019,both
202,20,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-17,560937,27,2025/00026,2974.18,72062.76,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,560937,6427-C-C/00020,both
203,21,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-29,561701,32,2025/00031,171.82,72234.58,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,561701,6427-C-C/00021,both
204,22,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-29,561703,30,2025/00029,157.3,72391.88,2025-12-30,6427,ADG32 6427 NANANOU SL,2025-12-30,ENTREGADA,561703,6427-C-C/00023,both
205,1,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-23,538001,3,2025/00003,5057.8,5057.8,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,538001,6428-C-C/00003,both
206,2,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-10-23,538002,5,2025/00001,5619.24,10677.04,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,538002,6428-C-C/00004,both
207,3,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-29,540108,8,2025/00008,3649.36,14326.4,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,540108,6428-C-C/00006,both
208,4,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-10-29,540109,6,2025/00004,4179.34,18505.74,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,540109,6428-C-C/00005,both
209,5,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-11-05,542319,10,2025/00010,4143.04,22648.78,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,542319,6428-C-C/00008,both
210,6,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-11-05,542322,8,2025/00005,3934.92,26583.7,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,542322,6428-C-C/00007,both
211,7,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-11-12,545025,11,2025/00015,3683.24,30266.94,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,545025,6428-C-C/00009,both
212,8,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-11-12,545027,11,2025/00010,3932.5,34199.44,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,545027,6428-C-C/00010,both
213,9,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-11-19,547912,16,2025/00016,4404.4,38603.84,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,547912,6428-C-C/00011,both
214,10,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-11-19,547914,14,2025/00013,4302.76,42906.6,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,547914,6428-C-C/00012,both
215,11,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-11-26,551342,17,2025/00021,3988.16,46894.76,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,551342,6428-C-C/00014,both
216,12,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-11-26,551345,19,2025/00015,4215.64,51110.4,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,551345,6428-C-C/00013,both
217,13,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-12-03,554308,20,2025/00026,3891.36,55001.76,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,554308,6428-C-C/00015,both
218,14,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-12-03,554312,21,2025/00018,3978.48,58980.24,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,554312,6428-C-C/00016,both
219,15,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-12-10,556977,25,2025/00030,3417.04,62397.28,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,556977,6428-C-C/00017,both
220,16,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-12-10,556981,24,2025/00020,4164.82,66562.1,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,556981,6428-C-C/00018,both
221,17,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-12-18,561157,28,2025/00031,3707.44,70269.54,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,561157,6428-C-C/00019,both
222,18,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-12-18,561158,28,2025/00025,3724.38,73993.92,2025-12-30,6428,ADG32 6428 ABOUBAL SL,2025-12-30,ENTREGADA,561158,6428-C-C/00020,both
