R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CA,A_CLAU_UNICA_CA,A_ID_CA,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA,_merge
74,8,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-05,542389,8,2025/00009,3643.31,25779.06,2025-12-30,542389,6352-C-C/00008,both,70,6352-C-C/00008,8,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00009,2025-11-05,8,2025-11-05,ROCALLA SA,C-C/00008,3643.31,25779.06,Hecho,both
75,9,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-12,545031,20,2025/00015,4049.27,29828.33,2025-12-30,545031,6352-C-C/00009,both,71,6352-C-C/00009,9,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00011,2025-11-12,20,2025-11-12,ALUBIX SL,C-C/00009,4049.27,29828.33,Hecho,both
76,10,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-12,545032,12,2025/00013,3403.73,33232.06,2025-12-30,545032,6352-C-C/00010,both,72,6352-C-C/00010,10,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00012,2025-11-12,12,2025-11-12,ROCALLA SA,C-C/00010,3403.73,33232.06,Hecho,both
77,11,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-19,548396,24,2025/00017,3916.77,37148.83,2025-12-30,548396,6352-C-C/00011,both,73,6352-C-C/00011,11,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00013,2025-11-20,24,2025-11-19,ALUBIX SL,C-C/00011,3916.77,37148.83,Hecho,both
78,12,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-19,548397,16,2025/00017,3781.25,40930.08,2025-12-30,548397,6352-C-C/00012,both,74,6352-C-C/00012,12,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00014,2025-11-20,16,2025-11-19,ROCALLA SA,C-C/00012,3781.25,40930.08,Hecho,both
79,13,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551300,25,2025/00019,4823.06,45753.14,2025-12-30,551300,6352-C-C/00013,both,75,6352-C-C/00013,13,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00015,2025-11-26,25,2025-11-26,ALUBIX SL,C-C/00013,4823.06,45753.14,Hecho,both
80,14,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-26,551301,19,2025/00019,4241.05,49994.19,2025-12-30,551301,6352-C-C/00014,both,76,6352-C-C/00014,14,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00016,2025-11-26,19,2025-11-26,ROCALLA SA,C-C/00014,4241.05,49994.19,Hecho,both
81,15,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-12-03,554360,27,2025/00024,4040.8,54034.99,2025-12-30,554360,6352-C-C/00015,both,77,6352-C-C/00015,15,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00017,2025-12-03,27,2025-12-03,ALUBIX SL,C-C/00015,4040.8,54034.99,Hecho,both
82,16,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-12-03,554362,24,2025/00024,3861.11,57896.1,2025-12-30,554362,6352-C-C/00016,both,78,6352-C-C/00016,16,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00018,2025-12-03,24,2025-12-03,ROCALLA SA,C-C/00016,3861.11,57896.1,Hecho,both
83,17,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-12-10,556920,28,2025/00028,4420.74,62316.84,2025-12-30,556920,6352-C-C/00017,both,79,6352-C-C/00017,17,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00019,2025-12-10,28,2025-12-10,ALUBIX SL,C-C/00017,4420.74,62316.84,Hecho,both
84,18,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-12-10,556921,29,2025/00027,3950.65,66267.49,2025-12-30,556921,6352-C-C/00018,both,80,6352-C-C/00018,18,6352,ADG32 6352 SAANANOU SL,MGZ01/ENTRA/00020,2025-12-10,29,2025-12-10,ROCALLA SA,C-C/00018,3950.65,66267.49,Hecho,both
85,1,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535295,1,2025/00005,1507.66,1507.66,2025-12-30,535295,6356-C-C/00002,both,86,6356-C-C/00002,2,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00002,2025-10-17,1,2025-10-17,ALUBIX SL,C-C/00002,1507.66,2952.4,Hecho,both
86,2,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535313,5,2025/00004,1444.74,2952.4,2025-12-30,535313,6356-C-C/00001,both,85,6356-C-C/00001,1,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00001,2025-10-17,5,2025-10-17,ROCALLA SA,C-C/00001,1444.74,1444.74,Hecho,both
87,3,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537160,4,2025/00009,4808.54,7760.94,2025-12-30,537160,6356-C-C/00004,both,88,6356-C-C/00004,4,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00004,2025-10-23,4,2025-10-22,ALUBIX SL,C-C/00004,4808.54,12738.88,Hecho,both
88,4,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537767,8,2025/00008,4977.94,12738.88,2025-12-30,537767,6356-C-C/00003,both,87,6356-C-C/00003,3,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00003,2025-10-23,8,2025-10-22,ROCALLA SA,C-C/00003,4977.94,7930.34,Hecho,both
89,5,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540159,6,2025/00012,3874.42,16613.3,2025-12-30,540159,6356-C-C/00005,both,89,6356-C-C/00005,5,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00005,2025-10-29,6,2025-10-29,ALUBIX SL,C-C/00005,3874.42,16613.3,Hecho,both
90,6,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540161,10,2025/00010,3322.66,19935.96,2025-12-30,540161,6356-C-C/00006,both,90,6356-C-C/00006,6,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00006,2025-10-29,10,2025-10-29,ROCALLA SA,C-C/00006,3322.66,19935.96,Hecho,both
91,7,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-05,542874,9,2025/00013,4360.84,24296.8,2025-12-30,542874,6356-C-C/00014,both,96,6356-C-C/00014,12,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00014,2025-11-19,9,2025-11-05,ALUBIX SL,C-C/00014,4360.84,39575.47,Hecho,both
92,8,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-05,542875,15,2025/00012,2473.24,26770.04,2025-12-30,542875,6356-C-C/00007,both,91,6356-C-C/00007,7,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00007,2025-11-06,15,2025-11-05,ROCALLA SA,C-C/00007,2473.24,22409.2,Hecho,both
93,9,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-12,545041,12,2025/00014,4689.96,31460.0,2025-12-30,545041,6356-C-C/00010,both,92,6356-C-C/00010,8,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00010,2025-11-13,12,2025-11-12,ALUBIX SL,C-C/00010,4689.96,27099.16,Hecho,both
94,10,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-13,545755,17,2025/00017,3369.85,34829.85,2025-12-30,545755,6356-C-C/00011,both,93,6356-C-C/00011,9,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00011,2025-11-13,17,2025-11-13,ROCALLA SA,C-C/00011,3369.85,30469.01,Hecho,both
95,11,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-14,546232,20,2025/00018,326.7,35156.55,2025-12-30,546232,6356-C-C/00012,both,94,6356-C-C/00012,10,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00012,2025-11-14,20,2025-11-14,ROCALLA SA,C-C/00012,326.7,30795.71,Hecho,both
96,12,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-19,547964,14,2025/00019,4418.92,39575.47,2025-12-30,547964,6356-C-C/00013,both,95,6356-C-C/00013,11,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00013,2025-11-19,14,2025-11-19,ALUBIX SL,C-C/00013,4418.92,35214.63,Hecho,both
97,13,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-19,548603,15,2025/00022,239.58,39815.05,2025-12-30,548603,6356-C-C/00015,both,97,6356-C-C/00015,13,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00015,2025-11-19,15,2025-11-19,ALUBIX SL,C-C/00015,239.58,39815.05,Hecho,both
98,14,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-19,548606,23,2025/00022,3488.43,43303.48,2025-12-30,548606,6356-C-C/00016,both,98,6356-C-C/00016,14,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00016,2025-11-19,23,2025-11-19,ROCALLA SA,C-C/00016,3488.43,43303.48,Hecho,both
99,15,6356,ADG32 6356 WAANANOU SL,Pendent,ROCALLA SA,2025-11-21,549377,28,2025/00027,14.52,43318.0,2025-12-30,549377,6356-C-C/00017,both,99,6356-C-C/00017,15,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00017,2025-11-21,28,2025-11-21,ROCALLA SA,C-C/00017,14.52,43318.0,Hecho,both
100,16,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551319,19,2025/00028,2814.46,46132.46,2025-12-30,551319,6356-C-C/00018,both,100,6356-C-C/00018,16,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00018,2025-11-26,19,2025-11-26,ALUBIX SL,C-C/00018,2814.46,46132.46,Hecho,both
101,17,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-26,551323,29,2025/00028,3196.82,49329.28,2025-12-30,551323,6356-C-C/00019,both,101,6356-C-C/00019,17,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00019,2025-11-26,29,2025-11-26,ROCALLA SA,C-C/00019,3196.82,49329.28,Hecho,both
102,18,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551595,20,2025/00024,1422.96,50752.24,2025-12-30,551595,6356-C-C/00020,both,102,6356-C-C/00020,18,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00020,2025-11-26,20,2025-11-26,ALUBIX SL,C-C/00020,1422.96,50752.24,Hecho,both
103,19,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-12-03,554396,24,2025/00029,4767.4,55519.64,2025-12-30,554396,6356-C-C/00021,both,103,6356-C-C/00021,19,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00021,2025-12-03,24,2025-12-03,ALUBIX SL,C-C/00021,4767.4,55519.64,Hecho,both
104,20,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-12-03,554399,32,2025/00033,3803.03,59322.67,2025-12-30,554399,6356-C-C/00022,both,104,6356-C-C/00022,20,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00022,2025-12-03,32,2025-12-03,ROCALLA SA,C-C/00022,3803.03,59322.67,Hecho,both
105,21,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-12-10,557603,25,2025/00034,4314.86,63637.53,2025-12-30,557603,6356-C-C/00023,both,105,6356-C-C/00023,21,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00023,2025-12-10,25,2025-12-10,ALUBIX SL,C-C/00023,4314.86,63637.53,Hecho,both
106,22,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-12-10,557605,37,2025/00037,3623.95,67261.48,2025-12-30,557605,6356-C-C/00024,both,106,6356-C-C/00024,22,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00024,2025-12-10,37,2025-12-10,ROCALLA SA,C-C/00024,3623.95,67261.48,Hecho,both
107,23,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX,2025-12-17,560979,31,2025/00039,4997.3,72258.78,2025-12-30,560979,6356-C-C/00025,both,107,6356-C-C/00025,23,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00025,2025-12-17,31,2025-12-17,ALUBIX SL,C-C/00025,4997.3,72258.78,Hecho,both
108,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA,2025-12-17,560980,41,2025/00040,3662.67,75921.45,2025-12-30,560980,6356-C-C/00027,both,108,6356-C-C/00027,24,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00028,2025-12-18,41,2025-12-17,ROCALLA SA,C-C/00027,3662.67,75921.45,Hecho,both
109,25,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX,2025-12-29,561705,33,2025/00041,157.3,76078.75,2025-12-30,561705,6356-C-C/00028,both,109,6356-C-C/00028,25,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00029,2025-12-30,33,2025-12-29,ALUBIX SL,C-C/00028,157.3,76078.75,Hecho,both
110,26,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA,2025-12-29,561706,45,2025/00041,158.51,76237.26,2025-12-30,561706,6356-C-C/00029,both,110,6356-C-C/00029,26,6356,ADG32 6356 WAANANOU SL,MGZ01/ENTRA/00030,2025-12-30,45,2025-12-29,ROCALLA SA,C-C/00029,158.51,76237.26,Hecho,both
111,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22,2025-12-19,535278,6366-C-C/00002,both,112,6366-C-C/00002,2,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00002,2025-10-17,3,2025-10-17,ALUBIX SL,C-C/00002,1067.22,2421.21,Hecho,both
112,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21,2025-12-19,535306,6366-C-C/00001,both,111,6366-C-C/00001,1,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00001,2025-10-17,4,2025-10-17,ROCALLA SA,C-C/00001,1353.99,1353.99,Hecho,both
113,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79,2025-12-19,537109,6366-C-C/00003,both,113,6366-C-C/00003,3,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00003,2025-10-22,8,2025-10-22,ALUBIX SL,C-C/00003,3748.58,6169.79,Hecho,both
114,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63,2025-12-19,537116,6366-C-C/00004,both,114,6366-C-C/00004,4,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00004,2025-10-22,6,2025-10-22,ROCALLA SA,C-C/00004,4239.84,10409.63,Hecho,both
115,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.3,13712.93,2025-12-19,540059,6366-C-C/00005,both,115,6366-C-C/00005,5,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00005,2025-10-29,10,2025-10-29,ALUBIX SL,C-C/00005,3303.3,13712.93,Hecho,both
116,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14,2025-12-19,540061,6366-C-C/00006,both,116,6366-C-C/00006,6,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00006,2025-10-29,10,2025-10-29,ROCALLA SA,C-C/00006,3873.21,17586.14,Hecho,both
117,7,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.4,2025-12-19,542307,6366-C-C/00007,both,117,6366-C-C/00007,7,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00007,2025-11-05,11,2025-11-05,ALUBIX SL,C-C/00007,4242.26,21828.4,Hecho,both
118,8,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37,2025-12-19,542310,6366-C-C/00008,both,118,6366-C-C/00008,8,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00008,2025-11-05,12,2025-11-05,ROCALLA SA,C-C/00008,5150.97,26979.37,Hecho,both
119,9,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03,2025-12-19,544984,6366-C-C/00009,both,119,6366-C-C/00009,9,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00009,2025-11-12,15,2025-11-12,ALUBIX SL,C-C/00009,3564.66,30544.03,Hecho,both
120,10,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48,2025-12-19,544986,6366-C-C/00010,both,120,6366-C-C/00010,10,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00010,2025-11-12,15,2025-11-12,ROCALLA SA,C-C/00010,4773.45,35317.48,Hecho,both
121,11,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04,2025-12-19,547936,6366-C-C/00011,both,121,6366-C-C/00011,11,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00011,2025-11-19,20,2025-11-19,ALUBIX SL,C-C/00011,3310.56,38628.04,Hecho,both
122,12,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98,2025-12-19,547938,6366-C-C/00012,both,122,6366-C-C/00012,12,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00012,2025-11-19,19,2025-11-19,ROCALLA SA,C-C/00012,3767.94,42395.98,Hecho,both
123,13,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.9,46255.88,2025-12-19,551253,6366-C-C/00013,both,123,6366-C-C/00013,13,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00013,2025-11-26,21,2025-11-26,ALUBIX SL,C-C/00013,3859.9,46255.88,Hecho,both
124,14,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13,2025-12-19,551263,6366-C-C/00014,both,124,6366-C-C/00014,14,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00014,2025-11-26,21,2025-11-26,ROCALLA SA,C-C/00014,4265.25,50521.13,Hecho,both
125,15,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89,2025-12-19,554336,6366-C-C/00015,both,125,6366-C-C/00015,15,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00015,2025-12-03,25,2025-12-03,ALUBIX SL,C-C/00015,3576.76,54097.89,Hecho,both
126,16,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,58443.0,2025-12-19,554337,6366-C-C/00016,both,126,6366-C-C/00016,16,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00016,2025-12-03,24,2025-12-03,ROCALLA SA,C-C/00016,4345.11,58443.0,Hecho,both
127,17,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-12-10,556849,29,2025/00028,3492.06,61935.06,2025-12-19,556849,6366-C-C/00017,both,127,6366-C-C/00017,17,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00017,2025-12-10,29,2025-12-10,ALUBIX SL,C-C/00017,3492.06,61935.06,Hecho,both
128,18,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-12-10,556852,26,2025/00035,4189.02,66124.08,2025-12-19,556852,6366-C-C/00018,both,128,6366-C-C/00018,18,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00018,2025-12-10,26,2025-12-10,ROCALLA SA,C-C/00018,4189.02,66124.08,Hecho,both
129,19,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX,2025-12-18,561023,32,2025/00031,3373.48,69497.56,2025-12-19,561023,6366-C-C/00019,both,129,6366-C-C/00019,19,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00019,2025-12-18,32,2025-12-18,ALUBIX SL,C-C/00019,3373.48,69497.56,Hecho,both
130,20,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA,2025-12-18,561027,31,2025/00036,3767.94,73265.5,2025-12-19,561027,6366-C-C/00020,both,130,6366-C-C/00020,20,6366,ADG32 6366 JMORAGUES SL,MGZ01/ENTRA/00020,2025-12-18,31,2025-12-18,ROCALLA SA,C-C/00020,3767.94,73265.5,Hecho,both
131,21,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX,2025-12-24,561672,36,2025/00036,162.14,73427.64,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
132,22,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA,2025-12-24,561673,34,2025/00039,163.35,73590.99,2025-12-19,,,left_only,,,,,,,,,,,,,,,left_only
133,1,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-17,535321,4,2025/00004,1447.16,1447.16,2025-12-24,535321,6368-C-C/00002,both,132,6368-C-C/00002,2,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00002,2025-10-17,4,2025-10-17,ALUBIX SL,C-C/00002,1447.16,3119.38,Hecho,both
134,2,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-17,535324,5,2025/00001,1672.22,3119.38,2025-12-24,535324,6368-C-C/00001,both,131,6368-C-C/00001,1,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00001,2025-10-17,5,2025-10-17,ROCALLA SA,C-C/00001,1672.22,1672.22,Hecho,both
135,3,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-22,537130,8,2025/00006,3092.76,6212.14,2025-12-24,537130,6368-C-C/00003,both,133,6368-C-C/00003,3,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00003,2025-10-23,8,2025-10-22,ALUBIX SL,C-C/00003,3092.76,6212.14,Hecho,both
136,4,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-22,537135,6,2025/00003,3559.82,9771.96,2025-12-24,537135,6368-C-C/00004,both,134,6368-C-C/00004,4,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00004,2025-10-23,6,2025-10-22,ROCALLA SA,C-C/00004,3559.82,9771.96,Hecho,both
137,5,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-29,540077,11,2025/00007,3598.54,13370.5,2025-12-24,540077,6368-C-C/00006,both,136,6368-C-C/00006,6,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00006,2025-10-29,11,2025-10-29,ALUBIX SL,C-C/00006,3598.54,17634.54,Hecho,both
138,6,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-29,540078,7,2025/00007,4264.04,17634.54,2025-12-24,540078,6368-C-C/00005,both,135,6368-C-C/00005,5,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00005,2025-10-29,7,2025-10-29,ROCALLA SA,C-C/00005,4264.04,14036.0,Hecho,both
139,7,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-11-05,542304,14,2025/00010,3813.92,21448.46,2025-12-24,542304,6368-C-C/00007,both,137,6368-C-C/00007,7,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00007,2025-11-05,14,2025-11-05,ALUBIX SL,C-C/00007,3813.92,21448.46,Hecho,both
140,8,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-11-05,542312,12,2025/00011,4714.16,26162.62,2025-12-24,542312,6368-C-C/00008,both,138,6368-C-C/00008,8,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00008,2025-11-05,12,2025-11-05,ROCALLA SA,C-C/00008,4714.16,26162.62,Hecho,both
141,9,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-11-13,545514,16,2025/00013,3315.4,29478.02,2025-12-24,545514,6368-C-C/00009,both,139,6368-C-C/00009,9,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00009,2025-11-13,16,2025-11-13,ALUBIX SL,C-C/00009,3315.4,29478.02,Hecho,both
142,10,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-11-13,545515,14,2025/00016,4486.68,33964.7,2025-12-24,545515,6368-C-C/00010,both,140,6368-C-C/00010,10,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00010,2025-11-13,14,2025-11-13,ROCALLA SA,C-C/00010,4486.68,33964.7,Hecho,both
143,11,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-11-19,547920,18,2025/00018,3540.46,37505.16,2025-12-24,547920,6368-C-C/00012,both,142,6368-C-C/00012,12,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00012,2025-11-19,18,2025-11-19,ALUBIX SL,C-C/00012,3540.46,41682.08,Hecho,both
144,12,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-11-19,547923,17,2025/00019,4176.92,41682.08,2025-12-24,547923,6368-C-C/00011,both,141,6368-C-C/00011,11,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00011,2025-11-19,17,2025-11-19,ROCALLA SA,C-C/00011,4176.92,38141.62,Hecho,both
145,13,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-11-26,551381,23,2025/00023,3959.12,45641.2,2025-12-24,551381,6368-C-C/00013,both,143,6368-C-C/00013,13,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00013,2025-11-27,23,2025-11-26,ALUBIX SL,C-C/00013,3959.12,45641.2,Hecho,both
146,14,6368,ADG32 6368 LPIZA SL,Facturada,ROCALLA SA,2025-11-26,551390,20,2025/00024,4271.3,49912.5,2025-12-24,551390,6368-C-C/00014,both,144,6368-C-C/00014,14,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00014,2025-11-27,20,2025-11-26,ROCALLA SA,C-C/00014,4271.3,49912.5,Hecho,both
147,15,6368,ADG32 6368 LPIZA SL,Facturada,ALUBIX SL,2025-12-03,554313,24,2025/00027,3913.14,53825.64,2025-12-24,554313,6368-C-C/00016,both,146,6368-C-C/00016,16,6368,ADG32 6368 LPIZA SL,MGZ01/ENTRA/00016,2025-12-03,24,2025-12-03,ALUBIX SL,C-C/00016,3913.14,58488.98,Hecho,both
