R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_IDTOTS_CP,A_CLAU_UNICA_CP,A_ID_CP,A_EXPEDIENT_CP,A_EMPRESA_CP,A_REF_ODOO_CP,A_FECHA_ALTA_ODOO_CP,A_NUMERO_CP,A_FECHA_EMISION_CP,A_PROVEEDOR_CP,A_IMPORTE_CP,A_ACUMULADO_CP,A_ESTADO_CP,A_ESTADO_FACTURACION_CP,_merge
66,4,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537115,5,2025/00005,3661.46,10004.89,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,66,6352-C-C/00004,4,6352,ADG32 6352 SAANANOU SL,C-C/00004,2025-10-23,537115,2025-10-22,ROCALLA SA,3661.46,10004.89,Pedido de compra,Totalmente facturado,both
67,5,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540133,13,2025/00010,4325.15,14330.04,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,67,6352-C-C/00005,5,6352,ADG32 6352 SAANANOU SL,C-C/00005,2025-10-29,540133,2025-10-29,ALUBIX SL,4325.15,14330.04,Pedido de compra,Totalmente facturado,both
68,6,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540134,6,2025/00007,3539.25,17869.29,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,68,6352-C-C/00006,6,6352,ADG32 6352 SAANANOU SL,C-C/00006,2025-10-29,540134,2025-10-29,ROCALLA SA,3539.25,17869.29,Pedido de compra,Totalmente facturado,both
69,7,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542386,15,2025/00012,4266.46,22135.75,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,69,6352-C-C/00007,7,6352,ADG32 6352 SAANANOU SL,C-C/00007,2025-11-05,542386,2025-11-05,ALUBIX SL,4266.46,22135.75,Pedido de compra,Totalmente facturado,both
70,8,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542389,8,2025/00009,3643.31,25779.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,70,6352-C-C/00008,8,6352,ADG32 6352 SAANANOU SL,C-C/00008,2025-11-05,542389,2025-11-05,ROCALLA SA,3643.31,25779.06,Pedido de compra,Totalmente facturado,both
71,9,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545031,20,2025/00015,4049.27,29828.33,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,71,6352-C-C/00009,9,6352,ADG32 6352 SAANANOU SL,C-C/00009,2025-11-12,545031,2025-11-12,ALUBIX SL,4049.27,29828.33,Pedido de compra,Totalmente facturado,both
72,10,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-12,545032,12,2025/00013,3403.73,33232.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,72,6352-C-C/00010,10,6352,ADG32 6352 SAANANOU SL,C-C/00010,2025-11-12,545032,2025-11-12,ROCALLA SA,3403.73,33232.06,Pedido de compra,Totalmente facturado,both
73,11,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548396,24,2025/00017,3916.77,37148.83,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,73,6352-C-C/00011,11,6352,ADG32 6352 SAANANOU SL,C-C/00011,2025-11-20,548396,2025-11-19,ALUBIX SL,3916.77,37148.83,Pedido de compra,Totalmente facturado,both
74,12,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548397,16,2025/00017,3781.25,40930.08,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,74,6352-C-C/00012,12,6352,ADG32 6352 SAANANOU SL,C-C/00012,2025-11-20,548397,2025-11-19,ROCALLA SA,3781.25,40930.08,Pedido de compra,Totalmente facturado,both
75,13,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551300,25,2025/00019,4823.06,45753.14,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,75,6352-C-C/00013,13,6352,ADG32 6352 SAANANOU SL,C-C/00013,2025-11-26,551300,2025-11-26,ALUBIX SL,4823.06,45753.14,Pedido de compra,Totalmente facturado,both
76,14,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551301,19,2025/00019,4241.05,49994.19,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,76,6352-C-C/00014,14,6352,ADG32 6352 SAANANOU SL,C-C/00014,2025-11-26,551301,2025-11-26,ROCALLA SA,4241.05,49994.19,Pedido de compra,Totalmente facturado,both
77,15,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554360,27,2025/00024,4040.8,54034.99,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,77,6352-C-C/00015,15,6352,ADG32 6352 SAANANOU SL,C-C/00015,2025-12-03,554360,2025-12-03,ALUBIX SL,4040.8,54034.99,Pedido de compra,Totalmente facturado,both
78,16,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554362,24,2025/00024,3861.11,57896.1,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,78,6352-C-C/00016,16,6352,ADG32 6352 SAANANOU SL,C-C/00016,2025-12-03,554362,2025-12-03,ROCALLA SA,3861.11,57896.1,Pedido de compra,Totalmente facturado,both
79,17,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-10,556920,28,2025/00028,4420.74,62316.84,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,79,6352-C-C/00017,17,6352,ADG32 6352 SAANANOU SL,C-C/00017,2025-12-10,556920,2025-12-10,ALUBIX SL,4420.74,62316.84,Pedido de compra,Totalmente facturado,both
80,18,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-10,556921,29,2025/00027,3950.65,66267.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,80,6352-C-C/00018,18,6352,ADG32 6352 SAANANOU SL,C-C/00018,2025-12-10,556921,2025-12-10,ROCALLA SA,3950.65,66267.49,Pedido de compra,Totalmente facturado,both
81,19,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560955,30,2025/00029,3872.0,70139.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,81,6352-C-C/00019,19,6352,ADG32 6352 SAANANOU SL,C-C/00019,2025-12-17,560955,2025-12-17,ALUBIX SL,3872.0,70139.49,Pedido de compra,Totalmente facturado,both
82,20,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560956,32,2025/00031,3191.98,73331.47,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,82,6352-C-C/00021,20,6352,ADG32 6352 SAANANOU SL,C-C/00021,2025-12-19,560956,2025-12-17,ROCALLA SA,3191.98,73331.47,Pedido de compra,Totalmente facturado,both
83,21,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-28,561694,35,2025/00034,158.51,73489.98,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,83,6352-C-C/00022,21,6352,ADG32 6352 SAANANOU SL,C-C/00022,2025-12-28,561694,2025-12-28,ALUBIX SL,158.51,73489.98,Pedido de compra,Facturas en espera,both
84,22,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-28,561695,35,2025/00034,158.51,73648.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,84,6352-C-C/00023,22,6352,ADG32 6352 SAANANOU SL,C-C/00023,2025-12-28,561695,2025-12-28,ROCALLA SA,158.51,73648.49,Pedido de compra,Facturas en espera,both
85,1,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535295,1,2025/00005,1507.66,1507.66,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,86,6356-C-C/00002,2,6356,ADG32 6356 WAANANOU SL,C-C/00002,2025-10-17,535295,2025-10-17,ALUBIX SL,1507.66,2952.4,Pedido de compra,Totalmente facturado,both
86,2,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535313,5,2025/00004,1444.74,2952.4,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,85,6356-C-C/00001,1,6356,ADG32 6356 WAANANOU SL,C-C/00001,2025-10-17,535313,2025-10-17,ROCALLA SA,1444.74,1444.74,Pedido de compra,Totalmente facturado,both
87,3,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537160,4,2025/00009,4808.54,7760.94,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,88,6356-C-C/00004,4,6356,ADG32 6356 WAANANOU SL,C-C/00004,2025-10-22,537160,2025-10-22,ALUBIX SL,4808.54,12738.88,Pedido de compra,Totalmente facturado,both
88,4,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537767,8,2025/00008,4977.94,12738.88,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,87,6356-C-C/00003,3,6356,ADG32 6356 WAANANOU SL,C-C/00003,2025-10-22,537767,2025-10-22,ROCALLA SA,4977.94,7930.34,Pedido de compra,Totalmente facturado,both
89,5,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540159,6,2025/00012,3874.42,16613.3,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,89,6356-C-C/00005,5,6356,ADG32 6356 WAANANOU SL,C-C/00005,2025-10-29,540159,2025-10-29,ALUBIX SL,3874.42,16613.3,Pedido de compra,Totalmente facturado,both
90,6,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540161,10,2025/00010,3322.66,19935.96,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,90,6356-C-C/00006,6,6356,ADG32 6356 WAANANOU SL,C-C/00006,2025-10-29,540161,2025-10-29,ROCALLA SA,3322.66,19935.96,Pedido de compra,Totalmente facturado,both
91,7,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542874,9,2025/00013,4360.84,24296.8,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,96,6356-C-C/00014,12,6356,ADG32 6356 WAANANOU SL,C-C/00014,2025-11-19,542874,2025-11-05,ALUBIX SL,4360.84,39575.47,Pedido de compra,Totalmente facturado,both
92,8,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542875,15,2025/00012,2473.24,26770.04,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,91,6356-C-C/00007,7,6356,ADG32 6356 WAANANOU SL,C-C/00007,2025-11-06,542875,2025-11-05,ROCALLA SA,2473.24,22409.2,Pedido de compra,Totalmente facturado,both
93,9,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545041,12,2025/00014,4689.96,0.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,92,6356-C-C/00010,8,6356,ADG32 6356 WAANANOU SL,C-C/00010,2025-11-12,545041,2025-11-12,ALUBIX SL,4689.96,27099.16,Pedido de compra,Totalmente facturado,both
94,10,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-13,545755,17,2025/00017,3369.85,34829.85,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,93,6356-C-C/00011,9,6356,ADG32 6356 WAANANOU SL,C-C/00011,2025-11-13,545755,2025-11-13,ROCALLA SA,3369.85,30469.01,Pedido de compra,Totalmente facturado,both
95,11,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-14,546232,20,2025/00018,326.7,35156.55,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,94,6356-C-C/00012,10,6356,ADG32 6356 WAANANOU SL,C-C/00012,2025-11-14,546232,2025-11-14,ROCALLA SA,326.7,30795.71,Pedido de compra,Totalmente facturado,both
96,12,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,547964,14,2025/00019,4418.92,39575.47,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,95,6356-C-C/00013,11,6356,ADG32 6356 WAANANOU SL,C-C/00013,2025-11-19,547964,2025-11-19,ALUBIX SL,4418.92,35214.63,Pedido de compra,Totalmente facturado,both
97,13,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548603,15,2025/00022,239.58,39815.05,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,97,6356-C-C/00015,13,6356,ADG32 6356 WAANANOU SL,C-C/00015,2025-11-19,548603,2025-11-19,ALUBIX SL,239.58,39815.05,Pedido de compra,Totalmente facturado,both
98,14,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548606,23,2025/00022,3488.43,43303.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,98,6356-C-C/00016,14,6356,ADG32 6356 WAANANOU SL,C-C/00016,2025-11-19,548606,2025-11-19,ROCALLA SA,3488.43,43303.48,Pedido de compra,Totalmente facturado,both
99,15,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-21,549377,28,2025/00027,14.52,0.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,99,6356-C-C/00017,15,6356,ADG32 6356 WAANANOU SL,C-C/00017,2025-11-21,549377,2025-11-21,ROCALLA SA,14.52,43318.0,Pedido de compra,Totalmente facturado,both
100,16,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551319,19,2025/00028,2814.46,46132.46,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,100,6356-C-C/00018,16,6356,ADG32 6356 WAANANOU SL,C-C/00018,2025-11-26,551319,2025-11-26,ALUBIX SL,2814.46,46132.46,Pedido de compra,Totalmente facturado,both
101,17,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551323,29,2025/00028,3196.82,49329.28,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,101,6356-C-C/00019,17,6356,ADG32 6356 WAANANOU SL,C-C/00019,2025-11-26,551323,2025-11-26,ROCALLA SA,3196.82,49329.28,Pedido de compra,Totalmente facturado,both
102,18,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551595,20,2025/00024,1422.96,50752.24,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,102,6356-C-C/00020,18,6356,ADG32 6356 WAANANOU SL,C-C/00020,2025-11-26,551595,2025-11-26,ALUBIX SL,1422.96,50752.24,Pedido de compra,Totalmente facturado,both
103,19,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554396,24,2025/00029,4767.4,55519.64,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,103,6356-C-C/00021,19,6356,ADG32 6356 WAANANOU SL,C-C/00021,2025-12-03,554396,2025-12-03,ALUBIX SL,4767.4,55519.64,Pedido de compra,Totalmente facturado,both
104,20,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554399,32,2025/00033,3803.03,59322.67,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,104,6356-C-C/00022,20,6356,ADG32 6356 WAANANOU SL,C-C/00022,2025-12-03,554399,2025-12-03,ROCALLA SA,3803.03,59322.67,Pedido de compra,Totalmente facturado,both
105,21,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-10,557603,25,2025/00034,4314.86,63637.53,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,105,6356-C-C/00023,21,6356,ADG32 6356 WAANANOU SL,C-C/00023,2025-12-10,557603,2025-12-10,ALUBIX SL,4314.86,63637.53,Pedido de compra,Totalmente facturado,both
106,22,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-10,557605,37,2025/00037,3623.95,67261.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,106,6356-C-C/00024,22,6356,ADG32 6356 WAANANOU SL,C-C/00024,2025-12-10,557605,2025-12-10,ROCALLA SA,3623.95,67261.48,Pedido de compra,Totalmente facturado,both
107,23,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560979,31,2025/00039,4997.3,72258.78,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,107,6356-C-C/00025,23,6356,ADG32 6356 WAANANOU SL,C-C/00025,2025-12-17,560979,2025-12-17,ALUBIX SL,4997.3,72258.78,Pedido de compra,Totalmente facturado,both
108,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560980,41,2025/00040,3662.67,75921.45,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,108,6356-C-C/00027,24,6356,ADG32 6356 WAANANOU SL,C-C/00027,2025-12-18,560980,2025-12-17,ROCALLA SA,3662.67,75921.45,Pedido de compra,Totalmente facturado,both
109,25,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-29,561705,33,2025/00041,157.3,76078.75,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,109,6356-C-C/00028,25,6356,ADG32 6356 WAANANOU SL,C-C/00028,2025-12-29,561705,2025-12-29,ALUBIX SL,157.3,76078.75,Pedido de compra,Facturas en espera,both
110,26,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-29,561706,45,2025/00041,158.51,76237.26,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,110,6356-C-C/00029,26,6356,ADG32 6356 WAANANOU SL,C-C/00029,2025-12-29,561706,2025-12-29,ROCALLA SA,158.51,76237.26,Pedido de compra,Facturas en espera,both
111,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,112,6366-C-C/00002,2,6366,ADG32 6366 JMORAGUES SL,C-C/00002,2025-10-17,535278,2025-10-17,ALUBIX SL,1067.22,2421.21,Pedido de compra,Totalmente facturado,both
112,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,111,6366-C-C/00001,1,6366,ADG32 6366 JMORAGUES SL,C-C/00001,2025-10-17,535306,2025-10-17,ROCALLA SA,1353.99,1353.99,Pedido de compra,Totalmente facturado,both
113,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,113,6366-C-C/00003,3,6366,ADG32 6366 JMORAGUES SL,C-C/00003,2025-10-22,537109,2025-10-22,ALUBIX SL,3748.58,6169.79,Pedido de compra,Totalmente facturado,both
114,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,114,6366-C-C/00004,4,6366,ADG32 6366 JMORAGUES SL,C-C/00004,2025-10-22,537116,2025-10-22,ROCALLA SA,4239.84,10409.63,Pedido de compra,Totalmente facturado,both
115,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.3,13712.93,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,115,6366-C-C/00005,5,6366,ADG32 6366 JMORAGUES SL,C-C/00005,2025-10-29,540059,2025-10-29,ALUBIX SL,3303.3,13712.93,Pedido de compra,Totalmente facturado,both
116,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,116,6366-C-C/00006,6,6366,ADG32 6366 JMORAGUES SL,C-C/00006,2025-10-29,540061,2025-10-29,ROCALLA SA,3873.21,17586.14,Pedido de compra,Totalmente facturado,both
117,7,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.4,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,117,6366-C-C/00007,7,6366,ADG32 6366 JMORAGUES SL,C-C/00007,2025-11-05,542307,2025-11-05,ALUBIX SL,4242.26,21828.4,Pedido de compra,Totalmente facturado,both
118,8,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,118,6366-C-C/00008,8,6366,ADG32 6366 JMORAGUES SL,C-C/00008,2025-11-05,542310,2025-11-05,ROCALLA SA,5150.97,26979.37,Pedido de compra,Totalmente facturado,both
119,9,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,119,6366-C-C/00009,9,6366,ADG32 6366 JMORAGUES SL,C-C/00009,2025-11-12,544984,2025-11-12,ALUBIX SL,3564.66,30544.03,Pedido de compra,Totalmente facturado,both
120,10,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,120,6366-C-C/00010,10,6366,ADG32 6366 JMORAGUES SL,C-C/00010,2025-11-12,544986,2025-11-12,ROCALLA SA,4773.45,35317.48,Pedido de compra,Totalmente facturado,both
121,11,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,121,6366-C-C/00011,11,6366,ADG32 6366 JMORAGUES SL,C-C/00011,2025-11-19,547936,2025-11-19,ALUBIX SL,3310.56,38628.04,Pedido de compra,Totalmente facturado,both
122,12,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,122,6366-C-C/00012,12,6366,ADG32 6366 JMORAGUES SL,C-C/00012,2025-11-19,547938,2025-11-19,ROCALLA SA,3767.94,42395.98,Pedido de compra,Totalmente facturado,both
123,13,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.9,46255.88,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,123,6366-C-C/00013,13,6366,ADG32 6366 JMORAGUES SL,C-C/00013,2025-11-26,551253,2025-11-26,ALUBIX SL,3859.9,46255.88,Pedido de compra,Totalmente facturado,both
124,14,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,124,6366-C-C/00014,14,6366,ADG32 6366 JMORAGUES SL,C-C/00014,2025-11-26,551263,2025-11-26,ROCALLA SA,4265.25,50521.13,Pedido de compra,Totalmente facturado,both
125,15,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,125,6366-C-C/00015,15,6366,ADG32 6366 JMORAGUES SL,C-C/00015,2025-12-03,554336,2025-12-03,ALUBIX SL,3576.76,54097.89,Pedido de compra,Totalmente facturado,both
126,16,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,0.0,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,126,6366-C-C/00016,16,6366,ADG32 6366 JMORAGUES SL,C-C/00016,2025-12-03,554337,2025-12-03,ROCALLA SA,4345.11,58443.0,Pedido de compra,Totalmente facturado,both
127,17,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-10,556849,29,2025/00028,3492.06,61935.06,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,127,6366-C-C/00017,17,6366,ADG32 6366 JMORAGUES SL,C-C/00017,2025-12-10,556849,2025-12-10,ALUBIX SL,3492.06,61935.06,Pedido de compra,Totalmente facturado,both
128,18,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-10,556852,26,2025/00035,4189.02,66124.08,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,128,6366-C-C/00018,18,6366,ADG32 6366 JMORAGUES SL,C-C/00018,2025-12-10,556852,2025-12-10,ROCALLA SA,4189.02,66124.08,Pedido de compra,Totalmente facturado,both
129,19,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-18,561023,32,2025/00031,3373.48,69497.56,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,129,6366-C-C/00019,19,6366,ADG32 6366 JMORAGUES SL,C-C/00019,2025-12-18,561023,2025-12-18,ALUBIX SL,3373.48,69497.56,Pedido de compra,Totalmente facturado,both
130,20,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-18,561027,31,2025/00036,3767.94,73265.5,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,130,6366-C-C/00020,20,6366,ADG32 6366 JMORAGUES SL,C-C/00020,2025-12-18,561027,2025-12-18,ROCALLA SA,3767.94,73265.5,Pedido de compra,Totalmente facturado,both
131,1,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-17,535321,4,2025/00004,1447.16,1447.16,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,132,6368-C-C/00002,2,6368,ADG32 6368 LPIZA SL,C-C/00002,2025-10-17,535321,2025-10-17,ALUBIX SL,1447.16,3119.38,Pedido de compra,Totalmente facturado,both
