R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CF,A_CLAU_UNICA_CF,A_ID_CF,A_EXPEDIENT_CF,A_EMPRESA_CF,A_REF_ODOO_CF,A_PROVEEDOR_CF,A_NUMERO_CF,A_FECHA_EMISION_CF,A_ORIGEN_CF,A_IMPORTE_CF,A_ACUMULADO_CF,A_ESTADO_PAGO_CF,_merge
64,2,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535312,3,2025/00001,1056.33,2323.2,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,535312,6352-C-C/00001,both,62,6352-C-C/00001,1,6352,ADG32 6352 SAANANOU SL,FC/2025/0001,ROCALLA SA,2025/00001,2025-10-17,C-C/00001,1056.33,1056.33,Pagada,both
65,3,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537112,8,2025/00008,4020.23,6343.43,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,537112,6352-C-C/00003,both,64,6352-C-C/00003,3,6352,ADG32 6352 SAANANOU SL,FC/2025/0003,ALUBIX SL,2025/00008,2025-10-22,C-C/00003,4020.23,6343.43,Pagada,both
66,4,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537115,5,2025/00005,3661.46,10004.89,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,537115,6352-C-C/00004,both,65,6352-C-C/00004,4,6352,ADG32 6352 SAANANOU SL,FC/2025/0004,ROCALLA SA,2025/00005,2025-10-22,C-C/00004,3661.46,10004.89,Pagada,both
67,5,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540133,13,2025/00010,4325.15,14330.04,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,540133,6352-C-C/00005,both,66,6352-C-C/00005,5,6352,ADG32 6352 SAANANOU SL,FC/2025/0005,ALUBIX SL,2025/00010,2025-10-29,C-C/00005,4325.15,14330.04,Pagada,both
68,6,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540134,6,2025/00007,3539.25,17869.29,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,540134,6352-C-C/00006,both,67,6352-C-C/00006,6,6352,ADG32 6352 SAANANOU SL,FC/2025/0006,ROCALLA SA,2025/00007,2025-10-29,C-C/00006,3539.25,17869.29,Pagada,both
69,7,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542386,15,2025/00012,4266.46,22135.75,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,542386,6352-C-C/00007,both,68,6352-C-C/00007,7,6352,ADG32 6352 SAANANOU SL,FC/2025/0007,ALUBIX SL,2025/00012,2025-11-05,C-C/00007,4266.46,22135.75,Pagada,both
70,8,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542389,8,2025/00009,3643.31,25779.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,542389,6352-C-C/00008,both,69,6352-C-C/00008,8,6352,ADG32 6352 SAANANOU SL,FC/2025/0008,ROCALLA SA,2025/00009,2025-11-05,C-C/00008,3643.31,25779.06,Pagada,both
71,9,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545031,20,2025/00015,4049.27,29828.33,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,545031,6352-C-C/00009,both,70,6352-C-C/00009,9,6352,ADG32 6352 SAANANOU SL,FC/2025/0009,ALUBIX SL,2025/00015,2025-11-12,C-C/00009,4049.27,29828.33,Pagada,both
72,10,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-12,545032,12,2025/00013,3403.73,33232.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,545032,6352-C-C/00010,both,71,6352-C-C/00010,10,6352,ADG32 6352 SAANANOU SL,FC/2025/0010,ROCALLA SA,2025/00013,2025-11-12,C-C/00010,3403.73,33232.06,Pagada,both
73,11,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548396,24,2025/00017,3916.77,37148.83,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,548396,6352-C-C/00011,both,72,6352-C-C/00011,11,6352,ADG32 6352 SAANANOU SL,FC/2025/0027,ALUBIX SL,2025/00017,2025-11-19,C-C/00011,3916.77,37148.83,Pagada,both
74,12,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548397,16,2025/00017,3781.25,40930.08,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,548397,6352-C-C/00012,both,73,6352-C-C/00012,12,6352,ADG32 6352 SAANANOU SL,FC/2025/0028,ROCALLA SA,2025/00017,2025-11-19,C-C/00012,3781.25,40930.08,Pagada,both
75,13,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551300,25,2025/00019,4823.06,45753.14,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,551300,6352-C-C/00013,both,74,6352-C-C/00013,13,6352,ADG32 6352 SAANANOU SL,FC/2025/0033,ALUBIX SL,2025/00019,2025-11-26,C-C/00013,4823.06,45753.14,Publicado,both
76,14,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551301,19,2025/00019,4241.05,49994.19,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,551301,6352-C-C/00014,both,75,6352-C-C/00014,14,6352,ADG32 6352 SAANANOU SL,FC/2025/0032,ROCALLA SA,2025/00019,2025-11-26,C-C/00014,4241.05,49994.19,Publicado,both
77,15,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554360,27,2025/00024,4040.8,54034.99,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,554360,6352-C-C/00015,both,76,6352-C-C/00015,15,6352,ADG32 6352 SAANANOU SL,FC/2025/0037,ALUBIX SL,2025/00024,2025-12-03,C-C/00015,4040.8,54034.99,Publicado,both
78,16,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554362,24,2025/00024,3861.11,57896.1,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,554362,6352-C-C/00016,both,77,6352-C-C/00016,16,6352,ADG32 6352 SAANANOU SL,FC/2025/0038,ROCALLA SA,2025/00024,2025-12-03,C-C/00016,3861.11,57896.1,Publicado,both
79,17,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-10,556920,28,2025/00028,4420.74,62316.84,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,556920,6352-C-C/00017,both,78,6352-C-C/00017,17,6352,ADG32 6352 SAANANOU SL,FC/2025/0039,ALUBIX SL,2025/00028,2025-12-10,C-C/00017,4420.74,62316.84,Publicado,both
80,18,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-10,556921,29,2025/00027,3950.65,66267.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,556921,6352-C-C/00018,both,79,6352-C-C/00018,18,6352,ADG32 6352 SAANANOU SL,FC/2025/0040,ROCALLA SA,2025/00027,2025-12-10,C-C/00018,3950.65,66267.49,Publicado,both
81,19,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560955,30,2025/00029,3872.0,70139.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,560955,6352-C-C/00019,both,80,6352-C-C/00019,19,6352,ADG32 6352 SAANANOU SL,FC/2025/0045,ALUBIX SL,2025/00029,2025-12-17,C-C/00019,3872.0,70139.49,Publicado,both
82,20,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560956,32,2025/00031,3191.98,73331.47,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,560956,6352-C-C/00021,both,81,6352-C-C/00021,20,6352,ADG32 6352 SAANANOU SL,FC/2025/0044,ROCALLA SA,2025/00031,2025-12-17,C-C/00021,3191.98,73331.47,Publicado,both
83,21,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-28,561694,35,2025/00034,158.51,73489.98,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,561694,6352-C-C/00022,both,,,,,,,,,,,,,,left_only
84,22,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-28,561695,35,2025/00034,158.51,73648.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA,561695,6352-C-C/00023,both,,,,,,,,,,,,,,left_only
85,1,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535295,1,2025/00005,1507.66,1507.66,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,535295,6356-C-C/00002,both,,,,,,,,,,,,,,left_only
86,2,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535313,5,2025/00004,1444.74,2952.4,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,535313,6356-C-C/00001,both,,,,,,,,,,,,,,left_only
87,3,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537160,4,2025/00009,4808.54,7760.94,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,537160,6356-C-C/00004,both,,,,,,,,,,,,,,left_only
88,4,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537767,8,2025/00008,4977.94,12738.88,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,537767,6356-C-C/00003,both,,,,,,,,,,,,,,left_only
89,5,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540159,6,2025/00012,3874.42,16613.3,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,540159,6356-C-C/00005,both,,,,,,,,,,,,,,left_only
90,6,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540161,10,2025/00010,3322.66,19935.96,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,540161,6356-C-C/00006,both,,,,,,,,,,,,,,left_only
91,7,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542874,9,2025/00013,4360.84,24296.8,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,542874,6356-C-C/00014,both,,,,,,,,,,,,,,left_only
92,8,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542875,15,2025/00012,2473.24,26770.04,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,542875,6356-C-C/00007,both,,,,,,,,,,,,,,left_only
93,9,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545041,12,2025/00014,4689.96,0.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,545041,6356-C-C/00010,both,,,,,,,,,,,,,,left_only
94,10,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-13,545755,17,2025/00017,3369.85,34829.85,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,545755,6356-C-C/00011,both,,,,,,,,,,,,,,left_only
95,11,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-14,546232,20,2025/00018,326.7,35156.55,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,546232,6356-C-C/00012,both,,,,,,,,,,,,,,left_only
96,12,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,547964,14,2025/00019,4418.92,39575.47,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,547964,6356-C-C/00013,both,,,,,,,,,,,,,,left_only
97,13,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548603,15,2025/00022,239.58,39815.05,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,548603,6356-C-C/00015,both,,,,,,,,,,,,,,left_only
98,14,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548606,23,2025/00022,3488.43,43303.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,548606,6356-C-C/00016,both,,,,,,,,,,,,,,left_only
99,15,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-21,549377,28,2025/00027,14.52,0.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,549377,6356-C-C/00017,both,,,,,,,,,,,,,,left_only
100,16,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551319,19,2025/00028,2814.46,46132.46,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,551319,6356-C-C/00018,both,,,,,,,,,,,,,,left_only
101,17,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551323,29,2025/00028,3196.82,49329.28,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,551323,6356-C-C/00019,both,,,,,,,,,,,,,,left_only
102,18,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551595,20,2025/00024,1422.96,50752.24,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,551595,6356-C-C/00020,both,,,,,,,,,,,,,,left_only
103,19,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554396,24,2025/00029,4767.4,55519.64,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,554396,6356-C-C/00021,both,,,,,,,,,,,,,,left_only
104,20,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554399,32,2025/00033,3803.03,59322.67,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,554399,6356-C-C/00022,both,,,,,,,,,,,,,,left_only
105,21,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-10,557603,25,2025/00034,4314.86,63637.53,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,557603,6356-C-C/00023,both,,,,,,,,,,,,,,left_only
106,22,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-10,557605,37,2025/00037,3623.95,67261.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,557605,6356-C-C/00024,both,,,,,,,,,,,,,,left_only
107,23,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560979,31,2025/00039,4997.3,72258.78,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,560979,6356-C-C/00025,both,,,,,,,,,,,,,,left_only
108,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560980,41,2025/00040,3662.67,75921.45,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,560980,6356-C-C/00027,both,,,,,,,,,,,,,,left_only
109,25,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-29,561705,33,2025/00041,157.3,76078.75,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,561705,6356-C-C/00028,both,,,,,,,,,,,,,,left_only
110,26,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-29,561706,45,2025/00041,158.51,76237.26,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA,561706,6356-C-C/00029,both,,,,,,,,,,,,,,left_only
111,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,535278,6366-C-C/00002,both,107,6366-C-C/00002,2,6366,ADG32 6366 JMORAGUES SL,FC/2025/0001,ALUBIX SL,2025/00002,2025-10-17,C-C/00002,1067.22,2421.21,Pagada,both
112,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,535306,6366-C-C/00001,both,106,6366-C-C/00001,1,6366,ADG32 6366 JMORAGUES SL,FC/2025/0002,ROCALLA SA,2025/00005,2025-10-17,C-C/00001,1353.99,1353.99,Pagada,both
113,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,537109,6366-C-C/00003,both,108,6366-C-C/00003,3,6366,ADG32 6366 JMORAGUES SL,FC/2025/0003,ALUBIX SL,2025/00003,2025-10-22,C-C/00003,3748.58,6169.79,Pagada,both
114,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,537116,6366-C-C/00004,both,109,6366-C-C/00004,4,6366,ADG32 6366 JMORAGUES SL,FC/2025/0004,ROCALLA SA,2025/00009,2025-10-22,C-C/00004,4239.84,10409.63,Pagada,both
115,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.3,13712.93,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,540059,6366-C-C/00005,both,110,6366-C-C/00005,5,6366,ADG32 6366 JMORAGUES SL,FC/2025/0005,ALUBIX SL,2025/00006,2025-10-29,C-C/00005,3303.3,13712.93,Pagada,both
116,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,540061,6366-C-C/00006,both,111,6366-C-C/00006,6,6366,ADG32 6366 JMORAGUES SL,FC/2025/0006,ROCALLA SA,2025/00013,2025-10-29,C-C/00006,3873.21,17586.14,Pagada,both
117,7,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.4,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,542307,6366-C-C/00007,both,112,6366-C-C/00007,7,6366,ADG32 6366 JMORAGUES SL,FC/2025/0007,ALUBIX SL,2025/00011,2025-11-05,C-C/00007,4242.26,21828.4,Pagada,both
118,8,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,542310,6366-C-C/00008,both,113,6366-C-C/00008,8,6366,ADG32 6366 JMORAGUES SL,FC/2025/0008,ROCALLA SA,2025/00015,2025-11-05,C-C/00008,5150.97,26979.37,Pagada,both
119,9,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,544984,6366-C-C/00009,both,114,6366-C-C/00009,9,6366,ADG32 6366 JMORAGUES SL,FC/2025/0009,ALUBIX SL,2025/00014,2025-11-12,C-C/00009,3564.66,30544.03,Pagada,both
120,10,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,544986,6366-C-C/00010,both,115,6366-C-C/00010,10,6366,ADG32 6366 JMORAGUES SL,FC/2025/0010,ROCALLA SA,2025/00020,2025-11-12,C-C/00010,4773.45,35317.48,Pagada,both
121,11,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,547936,6366-C-C/00011,both,116,6366-C-C/00011,11,6366,ADG32 6366 JMORAGUES SL,FC/2025/0027,ALUBIX SL,2025/00018,2025-11-19,C-C/00011,3310.56,38628.04,Pagada,both
122,12,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,547938,6366-C-C/00012,both,117,6366-C-C/00012,12,6366,ADG32 6366 JMORAGUES SL,FC/2025/0028,ROCALLA SA,2025/00025,2025-11-19,C-C/00012,3767.94,42395.98,Pagada,both
123,13,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.9,46255.88,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,551253,6366-C-C/00013,both,118,6366-C-C/00013,13,6366,ADG32 6366 JMORAGUES SL,FC/2025/0032,ALUBIX SL,2025/00020,2025-11-26,C-C/00013,3859.9,46255.88,Publicado,both
124,14,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,551263,6366-C-C/00014,both,119,6366-C-C/00014,14,6366,ADG32 6366 JMORAGUES SL,FC/2025/0033,ROCALLA SA,2025/00029,2025-11-26,C-C/00014,4265.25,50521.13,Publicado,both
125,15,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,554336,6366-C-C/00015,both,120,6366-C-C/00015,15,6366,ADG32 6366 JMORAGUES SL,FC/2025/0040,ALUBIX SL,2025/00025,2025-12-03,C-C/00015,3576.76,54097.89,Publicado,both
126,16,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,0.0,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,554337,6366-C-C/00016,both,121,6366-C-C/00016,16,6366,ADG32 6366 JMORAGUES SL,FC/2025/0041,ROCALLA SA,2025/00030,2025-12-03,C-C/00016,4345.11,58443.0,Publicado,both
127,17,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-10,556849,29,2025/00028,3492.06,61935.06,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,556849,6366-C-C/00017,both,122,6366-C-C/00017,17,6366,ADG32 6366 JMORAGUES SL,FC/2025/0046,ALUBIX SL,2025/00028,2025-12-10,C-C/00017,3492.06,61935.06,Publicado,both
128,18,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-10,556852,26,2025/00035,4189.02,66124.08,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,556852,6366-C-C/00018,both,123,6366-C-C/00018,18,6366,ADG32 6366 JMORAGUES SL,FC/2025/0047,ROCALLA SA,2025/00035,2025-12-10,C-C/00018,4189.02,66124.08,Publicado,both
129,19,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-18,561023,32,2025/00031,3373.48,69497.56,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,561023,6366-C-C/00019,both,124,6366-C-C/00019,19,6366,ADG32 6366 JMORAGUES SL,FC/2025/0050,ALUBIX SL,2025/00031,2025-12-18,C-C/00019,3373.48,69497.56,Publicado,both
130,20,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-18,561027,31,2025/00036,3767.94,73265.5,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA,561027,6366-C-C/00020,both,125,6366-C-C/00020,20,6366,ADG32 6366 JMORAGUES SL,FC/2025/0051,ROCALLA SA,2025/00036,2025-12-18,C-C/00020,3767.94,73265.5,Publicado,both
131,1,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-17,535321,4,2025/00004,1447.16,1447.16,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,535321,6368-C-C/00002,both,127,6368-C-C/00002,2,6368,ADG32 6368 LPIZA SL,FC/2025/0002,ALUBIX SL,2025/00004,2025-10-17,C-C/00002,1447.16,3119.38,Pagada,both
132,2,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-17,535324,5,2025/00001,1672.22,3119.38,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,535324,6368-C-C/00001,both,126,6368-C-C/00001,1,6368,ADG32 6368 LPIZA SL,FC/2025/0001,ROCALLA SA,2025/00001,2025-10-17,C-C/00001,1672.22,1672.22,Pagada,both
133,3,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-22,537130,8,2025/00006,3092.76,6212.14,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,537130,6368-C-C/00003,both,128,6368-C-C/00003,3,6368,ADG32 6368 LPIZA SL,FC/2025/0003,ALUBIX SL,2025/00006,2025-10-22,C-C/00003,3092.76,6212.14,Pagada,both
134,4,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-22,537135,6,2025/00003,3559.82,9771.96,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,537135,6368-C-C/00004,both,129,6368-C-C/00004,4,6368,ADG32 6368 LPIZA SL,FC/2025/0004,ROCALLA SA,2025/00003,2025-10-22,C-C/00004,3559.82,9771.96,Pagada,both
135,5,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-29,540077,11,2025/00007,3598.54,13370.5,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,540077,6368-C-C/00006,both,131,6368-C-C/00006,6,6368,ADG32 6368 LPIZA SL,FC/2025/0006,ALUBIX SL,2025/00007,2025-10-29,C-C/00006,3598.54,17634.54,Pagada,both
136,6,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-29,540078,7,2025/00007,4264.04,17634.54,2025-12-24,6368,ADG32 6368 LPIZA SL,2025-12-24,ENTREGADA,540078,6368-C-C/00005,both,130,6368-C-C/00005,5,6368,ADG32 6368 LPIZA SL,FC/2025/0005,ROCALLA SA,2025/00007,2025-10-29,C-C/00005,4264.04,14036.0,Pagada,both
