ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_ESTAT_HES
776,20,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-19 09:39:07,MGZ01/SURT/00014,MGZ01/Stock,Customers,52,,52,101.00,OP_INTERMITJA,Hecho
777,21,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-19 09:41:19,MGZ01/SURT/00015,MGZ01/Stock,Customers,43,,43,58.00,OP_INTERMITJA,Hecho
778,22,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-19 09:43:27,MGZ01/SURT/00016,MGZ01/Stock,Customers,57,,57.00,1.00,OP_INTERMITJA,Hecho
779,23,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-26 09:33:19,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,183,183,,184.00,OP_INTERMITJA,Hecho
780,24,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-26 09:41:27,MGZ01/SURT/00017,MGZ01/Stock,Customers,57,,57,127.00,OP_INTERMITJA,Hecho
781,25,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-26 09:44:54,MGZ01/SURT/00018,MGZ01/Stock,Customers,56,,56,71.00,OP_INTERMITJA,Hecho
782,26,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-11-26 09:46:12,MGZ01/SURT/00019,MGZ01/Stock,Customers,70,,70,1.00,OP_INTERMITJA,Hecho
783,27,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-03 09:21:27,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,158,158,,159.00,OP_INTERMITJA,Hecho
784,28,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-03 09:24:57,MGZ01/SURT/00020,MGZ01/Stock,Customers,55,,55,104.00,OP_INTERMITJA,Hecho
785,29,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-03 09:25:56,MGZ01/SURT/00021,MGZ01/Stock,Customers,49,,49,55.00,OP_INTERMITJA,Hecho
786,30,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-03 09:29:06,MGZ01/SURT/00022,MGZ01/Stock,Customers,54,,54,1.00,OP_INTERMITJA,Hecho
787,31,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-10 09:17:55,MGZ01/ENTRA/00017,Vendors,MGZ01/Stock,163,163,,164.00,OP_INTERMITJA,Hecho
788,32,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-10 09:21:18,MGZ01/SURT/00023,MGZ01/Stock,Customers,68,,68,96.00,OP_INTERMITJA,Hecho
789,33,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-10 09:22:27,MGZ01/SURT/00024,MGZ01/Stock,Customers,54,,54,42.00,OP_INTERMITJA,Hecho
790,34,6366,ADG32 6366 JMORAGUES SL,_A0002_,2025-12-10 09:25:54,MGZ01/SURT/00025,MGZ01/Stock,Customers,41,,41,1.00,OP_FINAL,Hecho
791,1,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-17 09:41:06,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,55,55,,55,OP_INICIAL,Hecho
792,2,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-17 10:22:00,MGZ01/SURT/00001,MGZ01/Stock,Customers,55,,55,0,OP_INTERMITJA,Hecho
793,3,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-22 09:49:49,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,156,156,,156,OP_INTERMITJA,Hecho
794,4,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-22 11:49:27,MGZ01/SURT/00002,MGZ01/Stock,Customers,46,,46,110,OP_INTERMITJA,Hecho
795,5,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-22 11:55:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,50,,50,60,OP_INTERMITJA,Hecho
796,6,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-22 11:58:14,MGZ01/SURT/00004,MGZ01/Stock,Customers,60,,60,0,OP_INTERMITJA,Hecho
797,7,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-29 09:24:27,MGZ01/ENTRA/00006,Vendors,MGZ01/Stock,169,169,,169,OP_INTERMITJA,Hecho
798,8,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-29 09:33:30,MGZ01/SURT/00005,MGZ01/Stock,Customers,64,,64,105,OP_INTERMITJA,Hecho
799,9,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-29 09:39:17,MGZ01/SURT/00006,MGZ01/Stock,Customers,49,,49,56,OP_INTERMITJA,Hecho
800,10,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-10-29 09:42:42,MGZ01/SURT/00007,MGZ01/Stock,Customers,56,,56,0,OP_INTERMITJA,Hecho
801,11,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-05 09:19:45,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,197,197,,197,OP_INTERMITJA,Hecho
802,12,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-05 09:25:50,MGZ01/SURT/00008,MGZ01/Stock,Customers,73,,73,124,OP_INTERMITJA,Hecho
803,13,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-05 09:31:45,MGZ01/SURT/00009,MGZ01/Stock,Customers,60,,60,64,OP_INTERMITJA,Hecho
804,14,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-05 09:34:02,MGZ01/SURT/00010,MGZ01/Stock,Customers,64,,64,0,OP_INTERMITJA,Hecho
805,15,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-12 09:13:36,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,177,177,,177,OP_INTERMITJA,Hecho
806,16,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-12 09:19:55,MGZ01/SURT/00011,MGZ01/Stock,Customers,70,,70,107,OP_INTERMITJA,Hecho
807,17,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-12 09:23:42,MGZ01/SURT/00012,MGZ01/Stock,Customers,58,,58,49,OP_INTERMITJA,Hecho
808,18,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-12 09:25:56,MGZ01/SURT/00013,MGZ01/Stock,Customers,48,,48,1,OP_INTERMITJA,Hecho
809,19,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-19 09:36:08,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,150,150,,151,OP_INTERMITJA,Hecho
810,20,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-19 09:39:07,MGZ01/SURT/00014,MGZ01/Stock,Customers,44,,44,107,OP_INTERMITJA,Hecho
811,21,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-19 09:41:19,MGZ01/SURT/00015,MGZ01/Stock,Customers,60,,60,47,OP_INTERMITJA,Hecho
812,22,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-19 09:43:27,MGZ01/SURT/00016,MGZ01/Stock,Customers,46,,46,1,OP_INTERMITJA,Hecho
813,23,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-26 09:35:39,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,165,165,,166,OP_INTERMITJA,Hecho
814,24,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-26 09:41:27,MGZ01/SURT/00017,MGZ01/Stock,Customers,44,,44,122,OP_INTERMITJA,Hecho
815,25,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-26 09:44:54,MGZ01/SURT/00018,MGZ01/Stock,Customers,71,,71,51,OP_INTERMITJA,Hecho
816,26,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-11-26 09:46:12,MGZ01/SURT/00019,MGZ01/Stock,Customers,50,,50,1,OP_INTERMITJA,Hecho
817,27,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-03 09:22:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,171,171,,172,OP_INTERMITJA,Hecho
818,28,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-03 09:24:57,MGZ01/SURT/00020,MGZ01/Stock,Customers,55,,55,117,OP_INTERMITJA,Hecho
819,29,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-03 09:25:56,MGZ01/SURT/00021,MGZ01/Stock,Customers,58,,58,59,OP_INTERMITJA,Hecho
820,30,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-03 09:29:06,MGZ01/SURT/00022,MGZ01/Stock,Customers,58,,58,1,OP_INTERMITJA,Hecho
821,31,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-10 09:18:50,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,150,150,,151,OP_INTERMITJA,Hecho
822,32,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-10 09:21:18,MGZ01/SURT/00023,MGZ01/Stock,Customers,54,,54,97,OP_INTERMITJA,Hecho
823,33,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-10 09:22:27,MGZ01/SURT/00024,MGZ01/Stock,Customers,49,,49,48,OP_INTERMITJA,Hecho
824,34,6366,ADG32 6366 JMORAGUES SL,_A0003_,2025-12-10 09:25:54,MGZ01/SURT/00025,MGZ01/Stock,Customers,47,,47,1,OP_FINAL,Hecho
825,1,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-17 09:41:06,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,52,52,,52,OP_INICIAL,Hecho
826,2,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-17 10:22:00,MGZ01/SURT/00001,MGZ01/Stock,Customers,52,,52,0,OP_INTERMITJA,Hecho
827,3,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-22 09:49:49,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,175,175,,175,OP_INTERMITJA,Hecho
828,4,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-22 11:49:27,MGZ01/SURT/00002,MGZ01/Stock,Customers,66,,66,109,OP_INTERMITJA,Hecho
829,5,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-22 11:55:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,55,,55,54,OP_INTERMITJA,Hecho
830,6,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-22 11:58:14,MGZ01/SURT/00004,MGZ01/Stock,Customers,54,,54,0,OP_INTERMITJA,Hecho
831,7,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-29 09:24:27,MGZ01/ENTRA/00006,Vendors,MGZ01/Stock,140,140,,140,OP_INTERMITJA,Hecho
832,8,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-29 09:33:30,MGZ01/SURT/00005,MGZ01/Stock,Customers,52,,52,88,OP_INTERMITJA,Hecho
833,9,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-29 09:39:17,MGZ01/SURT/00006,MGZ01/Stock,Customers,41,,41,47,OP_INTERMITJA,Hecho
834,10,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-10-29 09:42:42,MGZ01/SURT/00007,MGZ01/Stock,Customers,47,,47,0,OP_INTERMITJA,Hecho
835,11,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-05 09:19:45,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,207,207,,207,OP_INTERMITJA,Hecho
836,12,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-05 09:25:50,MGZ01/SURT/00008,MGZ01/Stock,Customers,69,,69,138,OP_INTERMITJA,Hecho
837,13,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-05 09:31:45,MGZ01/SURT/00009,MGZ01/Stock,Customers,61,,61,77,OP_INTERMITJA,Hecho
838,14,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-05 09:34:02,MGZ01/SURT/00010,MGZ01/Stock,Customers,77,,77,0,OP_INTERMITJA,Hecho
839,15,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-12 09:13:36,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,196,196,,196,OP_INTERMITJA,Hecho
840,16,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-12 09:19:55,MGZ01/SURT/00011,MGZ01/Stock,Customers,71,,71,125,OP_INTERMITJA,Hecho
841,17,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-12 09:23:42,MGZ01/SURT/00012,MGZ01/Stock,Customers,65,,65,60,OP_INTERMITJA,Hecho
842,18,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-12 09:25:56,MGZ01/SURT/00013,MGZ01/Stock,Customers,59,,59,1,OP_INTERMITJA,Hecho
843,19,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-19 09:36:08,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,147,147,,148,OP_INTERMITJA,Hecho
844,20,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-19 09:39:07,MGZ01/SURT/00014,MGZ01/Stock,Customers,52,,52,96,OP_INTERMITJA,Hecho
845,21,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-19 09:41:19,MGZ01/SURT/00015,MGZ01/Stock,Customers,51,,51,45,OP_INTERMITJA,Hecho
846,22,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-19 09:43:27,MGZ01/SURT/00016,MGZ01/Stock,Customers,44,,44,1,OP_INTERMITJA,Hecho
847,23,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-26 09:35:39,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,170,170,,171,OP_INTERMITJA,Hecho
848,24,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-26 09:41:27,MGZ01/SURT/00017,MGZ01/Stock,Customers,55,,55,116,OP_INTERMITJA,Hecho
849,25,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-26 09:44:54,MGZ01/SURT/00018,MGZ01/Stock,Customers,54,,54,62,OP_INTERMITJA,Hecho
850,26,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-11-26 09:46:12,MGZ01/SURT/00019,MGZ01/Stock,Customers,61,,61,1,OP_INTERMITJA,Hecho
851,27,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-03 09:22:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,171,171,,172,OP_INTERMITJA,Hecho
852,28,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-03 09:24:57,MGZ01/SURT/00020,MGZ01/Stock,Customers,54,,54,118,OP_INTERMITJA,Hecho
853,29,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-03 09:25:56,MGZ01/SURT/00021,MGZ01/Stock,Customers,49,,49,69,OP_INTERMITJA,Hecho
854,30,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-03 09:29:06,MGZ01/SURT/00022,MGZ01/Stock,Customers,68,,68,1,OP_INTERMITJA,Hecho
855,31,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-10 09:18:50,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,176,176,,177,OP_INTERMITJA,Hecho
856,32,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-10 09:21:18,MGZ01/SURT/00023,MGZ01/Stock,Customers,73,,73,104,OP_INTERMITJA,Hecho
857,33,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-10 09:22:27,MGZ01/SURT/00024,MGZ01/Stock,Customers,55,,55,49,OP_INTERMITJA,Hecho
858,34,6366,ADG32 6366 JMORAGUES SL,_A0004_,2025-12-10 09:25:54,MGZ01/SURT/00025,MGZ01/Stock,Customers,48,,48,1,OP_FINAL,Hecho
859,1,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-17 09:41:04,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,47,47,,47,OP_INICIAL,Hecho
860,2,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-17 10:21:55,MGZ01/SURT/00001,MGZ01/Stock,Customers,47,,47,0,OP_INTERMITJA,Hecho
861,3,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-23 08:35:25,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,99,99,,99,OP_INTERMITJA,Hecho
862,4,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-23 08:43:43,MGZ01/SURT/00002,MGZ01/Stock,Customers,39,,39,60,OP_INTERMITJA,Hecho
863,5,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-24 09:02:55,MGZ01/SURT/00003,MGZ01/Stock,Customers,28,,28,32,OP_INTERMITJA,Hecho
864,6,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-24 09:11:04,MGZ01/SURT/00004,MGZ01/Stock,Customers,32,,32,0,OP_INTERMITJA,Hecho
865,7,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-29 09:22:04,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,146,146,,146,OP_INTERMITJA,Hecho
866,8,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-29 09:26:58,MGZ01/SURT/00005,MGZ01/Stock,Customers,36,,36,110,OP_INTERMITJA,Hecho
867,9,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-29 09:43:05,MGZ01/SURT/00006,MGZ01/Stock,Customers,43,,43,67,OP_INTERMITJA,Hecho
868,10,6368,ADG32 6368 LPIZA SL,_AD003_,2025-10-29 09:49:58,MGZ01/SURT/00007,MGZ01/Stock,Customers,67,,67,0,OP_INTERMITJA,Hecho
869,11,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-05 09:21:16,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,164,164,,164,OP_INTERMITJA,Hecho
870,12,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-05 09:23:41,MGZ01/SURT/00008,MGZ01/Stock,Customers,49,,49,115,OP_INTERMITJA,Hecho
871,13,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-05 09:29:04,MGZ01/SURT/00009,MGZ01/Stock,Customers,56,,56,59,OP_INTERMITJA,Hecho
872,14,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-05 09:35:26,MGZ01/SURT/00010,MGZ01/Stock,Customers,59,,59,0,OP_INTERMITJA,Hecho
873,15,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-13 08:23:31,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,142,142,,142,OP_INTERMITJA,Hecho
874,16,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-13 08:25:57,MGZ01/SURT/00011,MGZ01/Stock,Customers,46,,46,96,OP_INTERMITJA,Hecho
875,17,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-13 08:31:37,MGZ01/SURT/00012,MGZ01/Stock,Customers,61,,61,35,OP_INTERMITJA,Hecho
876,18,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-13 08:36:45,MGZ01/SURT/00013,MGZ01/Stock,Customers,35,,35,0,OP_INTERMITJA,Hecho
877,19,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-19 09:25:04,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,118,118,,118,OP_INTERMITJA,Hecho
878,20,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-19 09:27:30,MGZ01/SURT/00014,MGZ01/Stock,Customers,39,,39,79,OP_INTERMITJA,Hecho
879,21,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-19 09:31:16,MGZ01/SURT/00015,MGZ01/Stock,Customers,44,,44,35,OP_INTERMITJA,Hecho
880,22,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-19 09:34:54,MGZ01/SURT/00016,MGZ01/Stock,Customers,35,,35,0,OP_INTERMITJA,Hecho
881,23,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-27 08:36:17,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,137,137,,137,OP_INTERMITJA,Hecho
882,24,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-27 08:38:57,MGZ01/SURT/00017,MGZ01/Stock,Customers,37,,37,100,OP_INTERMITJA,Hecho
883,25,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-27 08:46:37,MGZ01/SURT/00018,MGZ01/Stock,Customers,40,,40,60,OP_INTERMITJA,Hecho
884,26,6368,ADG32 6368 LPIZA SL,_AD003_,2025-11-27 08:49:46,MGZ01/SURT/00019,MGZ01/Stock,Customers,60,,60,0,OP_INTERMITJA,Hecho
885,27,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-03 09:13:27,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,147,147,,147,OP_INTERMITJA,Hecho
886,28,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-03 09:20:48,MGZ01/SURT/00020,MGZ01/Stock,Customers,45,,45,102,OP_INTERMITJA,Hecho
887,29,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-03 09:22:04,MGZ01/SURT/00021,MGZ01/Stock,Customers,52,,52,50,OP_INTERMITJA,Hecho
888,30,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-03 09:23:08,MGZ01/SURT/00022,MGZ01/Stock,Customers,50,,50,0,OP_INTERMITJA,Hecho
889,31,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-10 09:16:27,MGZ01/ENTRA/00018,Vendors,MGZ01/Stock,171,171,,171,OP_INTERMITJA,Hecho
890,32,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-10 09:18:09,MGZ01/SURT/00023,MGZ01/Stock,Customers,58,,58,113,OP_INTERMITJA,Hecho
891,33,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-10 09:22:18,MGZ01/SURT/00024,MGZ01/Stock,Customers,63,,63,50,OP_INTERMITJA,Hecho
892,34,6368,ADG32 6368 LPIZA SL,_AD003_,2025-12-10 09:26:17,MGZ01/SURT/00025,MGZ01/Stock,Customers,50,,50,0,OP_FINAL,Hecho
893,1,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-17 09:45:06,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,50,50,,50,OP_INICIAL,Hecho
894,2,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-17 10:21:55,MGZ01/SURT/00001,MGZ01/Stock,Customers,50,,50,0,OP_INTERMITJA,Hecho
895,3,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-23 08:31:56,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,108,108,,108,OP_INTERMITJA,Hecho
896,4,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-23 08:43:43,MGZ01/SURT/00002,MGZ01/Stock,Customers,38,,38,70,OP_INTERMITJA,Hecho
897,5,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-24 09:02:55,MGZ01/SURT/00003,MGZ01/Stock,Customers,31,,31,39,OP_INTERMITJA,Hecho
898,6,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-24 09:11:04,MGZ01/SURT/00004,MGZ01/Stock,Customers,39,,39,0,OP_INTERMITJA,Hecho
899,7,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-29 09:24:05,MGZ01/ENTRA/00006,Vendors,MGZ01/Stock,127,127,,127,OP_INTERMITJA,Hecho
900,8,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-29 09:26:58,MGZ01/SURT/00005,MGZ01/Stock,Customers,41,,41,86,OP_INTERMITJA,Hecho
901,9,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-29 09:43:05,MGZ01/SURT/00006,MGZ01/Stock,Customers,43,,43,43,OP_INTERMITJA,Hecho
902,10,6368,ADG32 6368 LPIZA SL,_FL004_,2025-10-29 09:49:58,MGZ01/SURT/00007,MGZ01/Stock,Customers,43,,43,0,OP_INTERMITJA,Hecho
903,11,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-05 09:19:39,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,146,146,,146,OP_INTERMITJA,Hecho
904,12,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-05 09:23:41,MGZ01/SURT/00008,MGZ01/Stock,Customers,43,,43,103,OP_INTERMITJA,Hecho
905,13,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-05 09:29:04,MGZ01/SURT/00009,MGZ01/Stock,Customers,61,,61,42,OP_INTERMITJA,Hecho
906,14,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-05 09:35:26,MGZ01/SURT/00010,MGZ01/Stock,Customers,42,,42,0,OP_INTERMITJA,Hecho
907,15,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-13 08:22:06,MGZ01/ENTRA/00009,Vendors,MGZ01/Stock,118,118,,118,OP_INTERMITJA,Hecho
908,16,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-13 08:25:57,MGZ01/SURT/00011,MGZ01/Stock,Customers,43,,43,75,OP_INTERMITJA,Hecho
909,17,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-13 08:31:37,MGZ01/SURT/00012,MGZ01/Stock,Customers,44,,44,31,OP_INTERMITJA,Hecho
910,18,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-13 08:36:45,MGZ01/SURT/00013,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,Hecho
911,19,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-19 09:26:05,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,145,145,,145,OP_INTERMITJA,Hecho
912,20,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-19 09:27:30,MGZ01/SURT/00014,MGZ01/Stock,Customers,44,,44,101,OP_INTERMITJA,Hecho
913,21,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-19 09:31:16,MGZ01/SURT/00015,MGZ01/Stock,Customers,52,,52,49,OP_INTERMITJA,Hecho
914,22,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-19 09:34:54,MGZ01/SURT/00016,MGZ01/Stock,Customers,49,,49,0,OP_INTERMITJA,Hecho
915,23,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-27 08:34:08,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,140,140,,140,OP_INTERMITJA,Hecho
916,24,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-27 08:38:57,MGZ01/SURT/00017,MGZ01/Stock,Customers,51,,51,89,OP_INTERMITJA,Hecho
917,25,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-27 08:46:37,MGZ01/SURT/00018,MGZ01/Stock,Customers,38,,38,51,OP_INTERMITJA,Hecho
918,26,6368,ADG32 6368 LPIZA SL,_FL004_,2025-11-27 08:49:46,MGZ01/SURT/00019,MGZ01/Stock,Customers,51,,51,0,OP_INTERMITJA,Hecho
919,27,6368,ADG32 6368 LPIZA SL,_FL004_,2025-12-03 09:14:32,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,159,159,,159,OP_INTERMITJA,Hecho
920,28,6368,ADG32 6368 LPIZA SL,_FL004_,2025-12-03 09:20:48,MGZ01/SURT/00020,MGZ01/Stock,Customers,61,,61,98,OP_INTERMITJA,Hecho
921,29,6368,ADG32 6368 LPIZA SL,_FL004_,2025-12-03 09:22:04,MGZ01/SURT/00021,MGZ01/Stock,Customers,55,,55,43,OP_INTERMITJA,Hecho
922,30,6368,ADG32 6368 LPIZA SL,_FL004_,2025-12-03 09:23:08,MGZ01/SURT/00022,MGZ01/Stock,Customers,43,,43,0,OP_INTERMITJA,Hecho
