R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C
208,8,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-12,545027,11,2025/00010,3932.50,34199.44
209,9,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-19,547912,16,2025/00016,4404.40,38603.84
210,10,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-19,547914,14,2025/00013,4302.76,42906.60
211,11,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-11-26,551342,17,2025/00021,3988.16,46894.76
212,12,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-11-26,551345,19,2025/00015,4215.64,51110.40
213,13,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-12-03,554308,20,2025/00026,3891.36,55001.76
214,14,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-12-03,554312,21,2025/00018,3978.48,58980.24
215,15,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-12-10,556977,25,2025/00030,3417.04,62397.28
216,16,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-12-10,556981,24,2025/00020,4164.82,66562.10
217,17,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-12-18,561157,28,2025/00031,3707.44,70269.54
218,18,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-12-18,561158,28,2025/00025,3724.38,73993.92
219,19,6428,ADG32 6428 ABOUBAL SL,Facturada,ALUBIX SL,2025-12-30,561714,31,2025/00034,164.56,74158.48
220,20,6428,ADG32 6428 ABOUBAL SL,Facturada,ROCALLA SA,2025-12-30,561715,31,2025/00029,162.14,74320.62
221,1,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-17,535281,1,2025/00004,1287.44,1287.44
222,2,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-17,535298,5,2025/00005,1345.52,2632.96
223,3,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-22,537124,2,2025/00006,3165.36,5798.32
224,4,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-22,537125,9,2025/00008,4019.62,9817.94
225,5,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-10-29,540066,4,2025/00009,3472.70,13290.64
226,6,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-10-29,540076,11,2025/00010,3726.80,17017.44
227,7,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-05,542287,9,2025/00012,3661.46,20678.90
228,8,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-05,542291,14,2025/00014,4048.66,24727.56
229,9,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-12,545024,11,2025/00015,3552.56,28280.12
230,10,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-12,545028,16,2025/00019,4135.78,32415.90
231,11,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-19,547870,14,2025/00018,4034.14,36450.04
232,12,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-19,547872,19,2025/00021,4075.28,40525.32
233,13,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-11-26,551231,18,2025/00021,3467.86,43993.18
234,14,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-11-26,551234,23,2025/00025,4285.82,48279.00
235,15,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-12-03,554328,19,2025/00026,4164.82,52443.82
236,16,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-12-03,554329,25,2025/00029,4456.43,56900.25
237,17,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-12-10,556835,23,2025/00031,3930.08,60830.33
238,18,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-12-10,556837,29,2025/00031,4622.20,65452.53
239,19,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ALUBIX SL,2025-12-17,560955,30,2025/00029,3872.00,69324.53
240,20,6431,ADG32 6431 GZOUGGAGHI SL,Pagada,ROCALLA SA,2025-12-17,560956,32,2025/00031,3191.98,72516.51
241,21,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ALUBIX SL,2025-12-28,561694,35,2025/00034,158.51,72675.02
242,22,6431,ADG32 6431 GZOUGGAGHI SL,Facturada,ROCALLA SA,2025-12-28,561695,35,2025/00034,158.51,72833.53
243,1,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-17,535293,2,2025/00003,1436.86,1436.86
244,2,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-17,535314,5,2025/00004,1608.09,3044.95
245,3,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-23,537791,5,2025/00004,3718.43,6763.38
246,4,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-23,537793,6,2025/00009,3981.51,10744.89
247,5,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-10-29,540145,10,2025/00005,4128.91,14873.80
248,6,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-10-29,540147,11,2025/00013,3860.51,18734.31
249,7,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-05,542353,11,2025/00008,3632.11,22366.42
250,8,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-05,542356,15,2025/00014,4164.82,26531.24
251,9,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-14,546162,14,2025/00009,3949.66,30480.90
252,10,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-14,546163,16,2025/00015,4140.62,34621.52
253,11,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-20,548783,18,2025/00013,4031.84,38653.36
254,12,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-20,548784,17,2025/00019,4464.30,43117.66
255,13,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-11-26,551291,19,2025/00017,3795.71,46913.37
256,14,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-11-26,551292,19,2025/00021,4034.75,50948.12
257,15,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-12-03,554389,22,2025/00020,3847.69,54795.81
258,16,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-12-03,554390,24,2025/00026,3924.64,58720.45
259,17,6467,ADG32 6467 WCHANTAH SL,Facturada,ALUBIX SL,2025-12-10,556950,26,2025/00021,4215.23,62935.68
260,18,6467,ADG32 6467 WCHANTAH SL,Facturada,ROCALLA SA,2025-12-10,556951,27,2025/00030,4035.35,66971.03
261,19,6467,ADG32 6467 WCHANTAH SL,Pagada,ALUBIX SL,2025-12-18,561168,30,2025/00024,4187.93,71158.96
262,20,6467,ADG32 6467 WCHANTAH SL,Pagada,ROCALLA SA,2025-12-18,561170,29,2025/00032,4133.36,75292.32
263,1,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-17,535288,3,2025/00005,1218.47,1218.47
264,2,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-17,535307,2,2025/00001,1057.54,2276.01
265,3,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-23,537784,6,2025/00006,4187.81,6463.82
266,4,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-23,537786,6,2025/00004,3552.56,10016.38
267,5,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-10-29,540119,8,2025/00008,4545.97,14562.35
268,6,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-10-29,540120,9,2025/00008,3753.42,18315.77
269,7,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-05,542321,11,2025/00009,4195.07,22510.84
270,8,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-05,542325,11,2025/00010,3349.28,25860.12
271,9,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-12,544973,14,2025/00014,4435.86,30295.98
272,10,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-12,544976,13,2025/00014,3528.36,33824.34
273,11,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-20,548735,18,2025/00017,3759.47,37583.81
274,12,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-20,548736,17,2025/00019,3281.52,40865.33
275,13,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-11-26,551216,20,2025/00021,4481.84,45347.17
276,14,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-11-26,551220,19,2025/00023,3782.46,49129.63
277,15,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-12-03,554347,23,2025/00022,4146.67,53276.30
278,16,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-12-03,554350,23,2025/00026,3533.20,56809.50
279,17,6478,ADG32 6478 CBAUZA SL,Facturada,ALUBIX SL,2025-12-10,556850,26,2025/00026,5097.73,61907.23
280,18,6478,ADG32 6478 CBAUZA SL,Facturada,ROCALLA SA,2025-12-10,556858,26,2025/00031,3617.90,65525.13
281,19,6478,ADG32 6478 CBAUZA SL,Pagada,ALUBIX SL,2025-12-18,561176,31,2025/00030,4143.04,69668.17
282,20,6478,ADG32 6478 CBAUZA SL,Pagada,ROCALLA SA,2025-12-18,561177,31,2025/00033,3675.98,73344.15
283,1,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-17,535287,3,2025/00004,1280.18,1280.18
284,2,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-17,535310,2,2025/00004,878.46,2158.64
285,3,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-22,537161,8,2025/00008,4735.94,6894.58
286,4,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-22,537418,7,2025/00008,3204.08,10098.66
287,5,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-10-29,540080,9,2025/00009,4460.06,14558.72
288,6,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-10-29,540090,10,2025/00009,3300.88,17859.60
289,7,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-05,542316,10,2025/00013,4256.78,22116.38
290,8,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-05,542328,13,2025/00014,3015.32,25131.70
291,9,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-12,545004,12,2025/00016,4455.22,29586.92
292,10,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-12,545005,16,2025/00015,3317.82,32904.74
293,11,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-19,547939,14,2025/00020,4789.18,37693.92
294,12,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-19,547941,18,2025/00019,3373.48,41067.40
295,13,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-11-26,551277,15,2025/00021,4675.44,45742.84
296,14,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-11-26,551281,21,2025/00024,3150.84,48893.68
297,15,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-12-03,554367,23,2025/00026,3358.96,52252.64
298,16,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-12-03,554370,20,2025/00022,4614.94,56867.58
299,17,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-12-10,556810,21,2025/00023,5094.10,61961.68
300,18,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-12-10,556819,26,2025/00028,3228.28,65189.96
301,19,6702,ADG32 6702 NFORNES SL,Pagada,ALUBIX SL,2025-12-18,561110,22,2025/00027,4692.38,69882.34
302,20,6702,ADG32 6702 NFORNES SL,Pagada,ROCALLA SA,2025-12-18,561111,31,2025/00033,3267.00,73149.34
303,21,6702,ADG32 6702 NFORNES SL,Facturada,ALUBIX SL,2025-12-29,561709,25,2025/00028,171.82,73321.16
304,22,6702,ADG32 6702 NFORNES SL,Facturada,ROCALLA SA,2025-12-29,561710,35,2025/00036,162.14,73483.30
305,1,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-17,535283,3,2025/00003,849.42,849.42
306,2,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-17,535302,2,2025/00002,1582.68,2432.10
307,3,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-22,537118,8,2025/00006,3869.58,6301.68
308,4,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-22,537121,7,2025/00004,4464.90,10766.58
309,5,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-10-29,540081,10,2025/00009,3862.32,14628.90
310,6,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-10-29,540084,9,2025/00007,4123.68,18752.58
311,7,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-05,542292,14,2025/00014,4486.68,23239.26
312,8,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-05,542296,14,2025/00011,3477.54,26716.80
313,9,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-12,545010,18,2025/00012,4268.88,30985.68
314,10,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-12,545014,17,2025/00017,4094.64,35080.32
315,11,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-19,547890,21,2025/00020,4297.92,39378.24
316,12,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-19,547893,19,2025/00014,3659.04,43037.28
317,13,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-11-26,551235,25,2025/00023,4646.40,47683.68
318,14,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-11-26,551237,22,2025/00019,4414.08,52097.76
319,15,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-12-03,554393,30,2025/00026,3731.64,55829.40
320,16,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-12-03,554394,25,2025/00020,4443.12,60272.52
321,17,6706,ADG32 6706 NSUIYHI SL,Facturada,ALUBIX SL,2025-12-10,556824,33,2025/00029,3615.48,63888.00
322,18,6706,ADG32 6706 NSUIYHI SL,Facturada,ROCALLA SA,2025-12-10,556826,26,2025/00022,4014.78,67902.78
323,19,6706,ADG32 6706 NSUIYHI SL,Pagada,ROCALLA SA,2025-12-18,561005,30,2025/00024,3346.86,71249.64
324,20,6706,ADG32 6706 NSUIYHI SL,Pagada,ALUBIX SL,2025-12-18,561044,39,2025/00034,72.60,71322.24
325,1,6707,ADG32 6707 MOUAZINE SL,Pagada,ALUBIX SL,2025-10-17,535286,1,2025/00003,1323.74,1323.74
326,2,6707,ADG32 6707 MOUAZINE SL,Pagada,ROCALLA SA,2025-10-17,535292,2,2025/00004,1408.44,2732.18
327,3,6707,ADG32 6707 MOUAZINE SL,Pagada,ALUBIX SL,2025-10-22,537117,3,2025/00007,4293.08,7025.26
328,4,6707,ADG32 6707 MOUAZINE SL,Pagada,ROCALLA SA,2025-10-22,537120,6,2025/00009,4421.34,11446.60
329,5,6707,ADG32 6707 MOUAZINE SL,Pagada,ALUBIX SL,2025-10-29,540095,6,2025/00012,4135.78,15582.38
330,6,6707,ADG32 6707 MOUAZINE SL,Pagada,ROCALLA SA,2025-10-29,540100,10,2025/00014,4145.46,19727.84
331,7,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-11-05,542288,10,2025/00017,3947.02,23674.86
332,8,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-11-05,542298,15,2025/00017,4094.64,27769.50
333,9,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-11-13,546110,13,2025/00020,3821.18,31590.68
334,10,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-11-13,546111,16,2025/00020,3930.08,35520.76
335,11,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-11-19,547926,19,2025/00022,3888.94,39409.70
336,12,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-11-19,547927,18,2025/00021,3821.18,43230.88
337,13,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-11-26,551207,21,2025/00025,4087.38,47318.26
338,14,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-11-26,551214,24,2025/00024,4038.98,51357.24
339,15,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-12-03,554319,28,2025/00028,4014.78,55372.02
340,16,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-12-03,554373,22,2025/00029,4026.88,59398.90
341,17,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-12-10,556885,25,2025/00031,4290.66,63689.56
342,18,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-12-10,556887,33,2025/00031,3961.54,67651.10
343,19,6707,ADG32 6707 MOUAZINE SL,Pagada,ALUBIX SL,2025-12-18,561003,29,2025/00033,4205.96,71857.06
344,20,6707,ADG32 6707 MOUAZINE SL,Pagada,ROCALLA SA,2025-12-18,561006,37,2025/00036,4433.44,76290.50
345,21,6707,ADG32 6707 MOUAZINE SL,Facturada,ALUBIX SL,2025-12-30,561716,33,2025/00038,162.14,76452.64
346,22,6707,ADG32 6707 MOUAZINE SL,Facturada,ROCALLA SA,2025-12-30,561717,38,2025/00039,157.30,76609.94
347,1,6713,ADG32 6713 BCARBONELL SL,Pagada,ALUBIX SL,2025-10-17,535284,1,2025/00002,1458.05,1458.05
348,2,6713,ADG32 6713 BCARBONELL SL,Pagada,ROCALLA SA,2025-10-17,535309,4,2025/00002,1007.33,2465.38
349,3,6713,ADG32 6713 BCARBONELL SL,Pagada,ALUBIX SL,2025-10-23,537817,3,2025/00003,4086.78,6552.16
350,4,6713,ADG32 6713 BCARBONELL SL,Pagada,ROCALLA SA,2025-10-23,537819,5,2025/00006,2654.74,9206.90
351,5,6713,ADG32 6713 BCARBONELL SL,Pagada,ALUBIX SL,2025-10-30,540729,4,2025/00005,5093.50,14300.40
352,6,6713,ADG32 6713 BCARBONELL SL,Pagada,ROCALLA SA,2025-10-30,540730,10,2025/00008,3086.11,17386.51
353,7,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-11-05,542370,6,2025/00008,5405.68,22792.19
354,8,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-11-05,542376,15,2025/00012,3374.69,26166.88
355,9,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-11-07,543417,8,2025/00010,66.55,26233.43
356,10,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-11-13,545521,13,2025/00014,5009.40,31242.83
357,11,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-11-13,545522,20,2025/00016,3203.48,34446.31
358,12,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-11-20,548616,17,2025/00018,4575.01,39021.32
359,13,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-11-20,548617,23,2025/00020,2944.54,41965.86
360,14,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-11-26,551299,21,2025/00022,4397.75,46363.61
361,15,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-11-26,551308,26,2025/00024,2845.32,49208.93
362,16,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-12-03,554369,23,2025/00026,5054.78,54263.71
363,17,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-12-03,554371,28,2025/00028,3290.60,57554.31
364,18,6713,ADG32 6713 BCARBONELL SL,Facturada,ALUBIX SL,2025-12-10,556838,25,2025/00027,4768.01,62322.32
365,19,6713,ADG32 6713 BCARBONELL SL,Facturada,ROCALLA SA,2025-12-10,556841,33,2025/00030,3154.47,65476.79
366,20,6713,ADG32 6713 BCARBONELL SL,Pagada,ALUBIX SL,2025-12-19,561417,29,2025/00032,4285.82,69762.61
367,21,6713,ADG32 6713 BCARBONELL SL,Pagada,ROCALLA SA,2025-12-19,561418,34,2025/00035,2674.10,72436.71
368,1,6734,ADG32 6734 LABOLAFIO SL,Pagada,ALUBIX SL,2025-10-17,535289,2,2025/00001,1638.34,1638.34
369,2,6734,ADG32 6734 LABOLAFIO SL,Pagada,ROCALLA SA,2025-10-17,535311,3,2025/00003,1089.00,2727.34
370,3,6734,ADG32 6734 LABOLAFIO SL,Pagada,ALUBIX SL,2025-10-23,537776,7,2025/00002,4704.48,7431.82
371,4,6734,ADG32 6734 LABOLAFIO SL,Pagada,ROCALLA SA,2025-10-23,537778,8,2025/00006,3315.40,10747.22
372,5,6734,ADG32 6734 LABOLAFIO SL,Pagada,ALUBIX SL,2025-10-29,540135,12,2025/00007,4481.84,15229.06
373,6,6734,ADG32 6734 LABOLAFIO SL,Pagada,ROCALLA SA,2025-10-29,540136,10,2025/00010,3000.80,18229.86
374,7,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-11-05,542340,17,2025/00008,5164.28,23394.14
375,8,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-11-05,542341,11,2025/00014,3521.10,26915.24
376,9,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-11-12,545007,20,2025/00010,4694.80,31610.04
377,10,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-11-12,545011,15,2025/00019,3273.05,34883.09
378,11,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-11-20,548618,24,2025/00014,5103.78,39986.87
379,12,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-11-20,548619,20,2025/00020,3067.35,43054.22
380,13,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-11-26,551239,30,2025/00019,5055.38,48109.60
381,14,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-11-26,551242,23,2025/00021,3763.10,51872.70
382,15,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-11-26,551322,34,2025/00020,522.72,52395.42
383,16,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-12-03,554320,36,2025/00024,4549.60,56945.02
384,17,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-12-03,554322,24,2025/00022,3557.40,60502.42
385,18,6734,ADG32 6734 LABOLAFIO SL,Facturada,ALUBIX SL,2025-12-10,556830,41,2025/00025,5052.96,65555.38
386,19,6734,ADG32 6734 LABOLAFIO SL,Facturada,ROCALLA SA,2025-12-10,556836,25,2025/00026,3267.00,68822.38
387,20,6734,ADG32 6734 LABOLAFIO SL,Pagada,ALUBIX SL,2025-12-17,560857,43,2025/00026,4510.88,73333.26
388,21,6734,ADG32 6734 LABOLAFIO SL,Pagada,ROCALLA SA,2025-12-17,560858,27,2025/00031,3236.75,76570.01
389,22,6734,ADG32 6734 LABOLAFIO SL,Pagada,ALUBIX SL,2025-12-24,561678,44,2025/00028,171.82,76741.83
390,23,6734,ADG32 6734 LABOLAFIO SL,Pagada,ROCALLA SA,2025-12-24,561679,30,2025/00035,163.35,76905.18
391,1,6746,ADG32 6746 ELLADO SL,Pagada,ALUBIX SL,2025-10-17,535290,2,2025/00001,1074.48,1074.48
392,2,6746,ADG32 6746 ELLADO SL,Pagada,ROCALLA SA,2025-10-17,535301,3,2025/00002,1422.96,2497.44
393,3,6746,ADG32 6746 ELLADO SL,Pagada,ALUBIX SL,2025-10-22,537076,3,2025/00005,3765.52,6262.96
394,4,6746,ADG32 6746 ELLADO SL,Pagada,ROCALLA SA,2025-10-22,537079,8,2025/00004,4639.14,10902.10
395,5,6746,ADG32 6746 ELLADO SL,Pagada,ROCALLA SA,2025-10-29,540062,11,2025/00006,4711.74,15613.84
396,6,6746,ADG32 6746 ELLADO SL,Pagada,ALUBIX SL,2025-10-29,540063,6,2025/00008,3494.48,19108.32
397,7,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-11-05,542286,10,2025/00012,3627.58,22735.90
398,8,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-11-05,542289,15,2025/00010,4227.74,26963.64
399,9,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-11-12,544968,14,2025/00014,3588.86,30552.50
400,10,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-11-12,544970,17,2025/00013,4480.63,35033.13
401,11,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-11-19,547907,15,2025/00017,3119.38,38152.51
402,12,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-11-19,547908,22,2025/00018,4341.48,42493.99
403,13,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-11-26,551255,27,2025/00021,4254.36,46748.35
404,14,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-11-26,551258,18,2025/00023,3075.82,49824.17
405,15,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-11-26,551297,21,2025/00019,36.30,49860.47
406,16,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-12-03,554296,24,2025/00027,3569.50,53429.97
407,17,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-12-03,554298,30,2025/00024,4464.90,57894.87
408,18,6746,ADG32 6746 ELLADO SL,Facturada,ALUBIX SL,2025-12-10,556829,27,2025/00030,4157.56,62052.43
409,19,6746,ADG32 6746 ELLADO SL,Facturada,ROCALLA SA,2025-12-10,556832,34,2025/00028,4798.86,66851.29
410,1,6777,ADG32 6777 JGARCIA SL,Pagada,ALUBIX SL,2025-10-17,535277,5,2025/00005,1476.20,1476.20
411,2,6777,ADG32 6777 JGARCIA SL,Pagada,ROCALLA SA,2025-10-17,535305,3,2025/00003,1577.84,3054.04
412,3,6777,ADG32 6777 JGARCIA SL,Pagada,ALUBIX SL,2025-10-22,537194,9,2025/00009,4036.56,7090.60
413,4,6777,ADG32 6777 JGARCIA SL,Pagada,ROCALLA SA,2025-10-22,537198,8,2025/00005,3869.58,10960.18
414,5,6777,ADG32 6777 JGARCIA SL,Pagada,ALUBIX SL,2025-10-29,540075,13,2025/00012,3976.06,14936.24
